Run,p_{inf},M_{inf},Gamma,r1,r2,r3,r4,wall-press,heat-flux
3.3000000000000000e+01,1.9237500000000001e+01,1.6821874999999999e+01,1.9140625000000000e-03,-4.8750000000000002e-02,-1.2375000000000000e-01,-9.0624999999999997e-02,7.1874999999999994e-02,7.2353450000000003e+03,3.3710579999999999e+05
3.4000000000000000e+01,2.0237500000000001e+01,1.5471875000000001e+01,1.0390625000000001e-03,1.1250000000000000e-02,5.6250000000000001e-02,-4.0625000000000001e-02,1.2187500000000000e-01,6.4423220000000001e+03,2.9285109999999998e+05
3.5000000000000000e+01,2.4237500000000001e+01,1.7271875000000001e+01,1.5390625000000001e-03,-2.2875000000000001e-01,-1.8375000000000000e-01,1.5937499999999999e-01,-7.8125000000000000e-02,9.6271450000000004e+03,4.3965540000000002e+05
3.6000000000000000e+01,2.2237500000000001e+01,1.4571875000000000e+01,1.7890625000000001e-03,1.3125000000000001e-01,-6.3750000000000001e-02,-1.4062500000000000e-01,-1.7812500000000001e-01,6.2574660000000003e+03,2.7392500000000000e+05
3.7000000000000000e+01,1.8237500000000001e+01,1.6371874999999999e+01,1.2890625000000001e-03,-1.0875000000000000e-01,1.7624999999999999e-01,5.9374999999999997e-02,2.1874999999999999e-02,6.4430969999999998e+03,2.4336370000000001e+05
3.8000000000000000e+01,1.7737500000000001e+01,1.4796875000000000e+01,1.9765625000000000e-03,-1.9875000000000001e-01,2.0624999999999999e-01,8.4375000000000006e-02,1.9687499999999999e-01,5.1350079999999998e+03,2.3187579999999999e+05
3.9000000000000000e+01,2.1737500000000001e+01,1.6596875000000001e+01,1.4765625000000000e-03,4.1250000000000002e-02,-3.3750000000000002e-02,-1.1562500000000001e-01,-3.1250000000000002e-03,7.9442820000000002e+03,3.2716459999999998e+05
4.0000000000000000e+01,2.3737500000000001e+01,1.3896875000000000e+01,1.2265625000000000e-03,-7.8750000000000001e-02,-1.5375000000000000e-01,1.8437500000000001e-01,-1.0312499999999999e-01,6.0655299999999997e+03,2.1671229999999999e+05
4.1000000000000000e+01,1.9737500000000001e+01,1.5696875000000000e+01,1.7265625000000000e-03,1.6125000000000000e-01,8.6249999999999993e-02,-1.5625000000000000e-02,9.6875000000000003e-02,6.4756970000000001e+03,3.4413209999999998e+05
4.2000000000000000e+01,1.8737500000000001e+01,1.4346875000000001e+01,1.3515624999999999e-03,-1.3875000000000001e-01,-2.1375000000000000e-01,-6.5625000000000003e-02,1.4687500000000001e-01,5.1017529999999997e+03,2.1955379999999999e+05
4.3000000000000000e+01,2.2737500000000001e+01,1.6146875000000001e+01,1.8515624999999999e-03,1.0125000000000001e-01,2.6249999999999999e-02,1.3437499999999999e-01,-5.3124999999999999e-02,7.8139899999999998e+03,2.7462490000000002e+05
4.4000000000000000e+01,2.0737500000000001e+01,1.5246874999999999e+01,1.6015624999999999e-03,-1.8749999999999999e-02,1.4624999999999999e-01,-1.6562499999999999e-01,-1.5312500000000001e-01,6.3960379999999996e+03,2.7911920000000001e+05
4.5000000000000000e+01,1.6737500000000001e+01,1.7046875000000000e+01,1.1015624999999999e-03,2.2125000000000000e-01,-9.3750000000000000e-02,3.4375000000000003e-02,4.6875000000000000e-02,6.4795200000000004e+03,3.1973070000000001e+05
4.6000000000000000e+01,1.6612500000000001e+01,1.4178125000000000e+01,1.9296875000000000e-03,-7.1249999999999994e-02,3.7499999999999999e-03,-9.3749999999999997e-03,-1.4687500000000001e-01,4.4118869999999997e+03,1.9983310000000001e+05
4.7000000000000000e+01,2.0612500000000001e+01,1.5978125000000000e+01,1.4296875000000000e-03,1.6875000000000001e-01,-2.3624999999999999e-01,1.9062499999999999e-01,5.3124999999999999e-02,6.9621790000000001e+03,2.9368909999999998e+05
4.8000000000000000e+01,2.2612500000000001e+01,1.5078125000000000e+01,1.1796875000000000e-03,-1.9125000000000000e-01,-1.1625000000000001e-01,-1.0937500000000000e-01,1.5312500000000001e-01,6.8060020000000004e+03,2.6083450000000000e+05
4.9000000000000000e+01,1.8612500000000001e+01,1.6878125000000001e+01,1.6796875000000000e-03,4.8750000000000002e-02,1.2375000000000000e-01,9.0624999999999997e-02,-4.6875000000000000e-02,7.0606059999999998e+03,3.4318059999999998e+05
5.0000000000000000e+01,1.9612500000000001e+01,1.4628125000000001e+01,1.3046875000000001e-03,-1.1250000000000000e-02,-5.6250000000000001e-02,4.0625000000000001e-02,-1.9687499999999999e-01,5.5637169999999996e+03,2.5627529999999999e+05
5.1000000000000000e+01,2.3612500000000001e+01,1.6428125000000001e+01,1.8046875000000001e-03,2.2875000000000001e-01,1.8375000000000000e-01,-1.5937499999999999e-01,3.1250000000000002e-03,8.4470689999999995e+03,3.3905509999999998e+05
5.2000000000000000e+01,2.1612500000000001e+01,1.3728125000000000e+01,1.5546875000000001e-03,-1.3125000000000001e-01,6.3750000000000001e-02,1.4062500000000000e-01,1.0312499999999999e-01,5.3676070000000000e+03,1.8233579999999999e+05
5.3000000000000000e+01,1.7612500000000001e+01,1.5528124999999999e+01,1.0546875000000001e-03,1.0875000000000000e-01,-1.7624999999999999e-01,-5.9374999999999997e-02,-9.6875000000000003e-02,5.6402730000000001e+03,2.6516450000000000e+05
5.4000000000000000e+01,1.8112500000000001e+01,1.5303125000000000e+01,1.7421875000000000e-03,1.9875000000000001e-01,-2.0624999999999999e-01,-8.4375000000000006e-02,-1.2187500000000000e-01,5.6225879999999997e+03,2.6080989999999999e+05
5.5000000000000000e+01,2.2112500000000001e+01,1.7103124999999999e+01,1.2421875000000000e-03,-4.1250000000000002e-02,3.3750000000000002e-02,1.1562500000000001e-01,7.8125000000000000e-02,8.6142800000000007e+03,3.8323240000000002e+05
5.6000000000000000e+01,2.4112500000000001e+01,1.4403124999999999e+01,1.4921875000000000e-03,7.8750000000000001e-02,1.5375000000000000e-01,-1.8437500000000001e-01,1.7812500000000001e-01,6.6265400000000000e+03,2.6659629999999999e+05
5.7000000000000000e+01,2.0112500000000001e+01,1.6203125000000000e+01,1.9921875000000000e-03,-1.6125000000000000e-01,-8.6249999999999993e-02,1.5625000000000000e-02,-2.1874999999999999e-02,6.9842230000000000e+03,3.1128370000000001e+05
5.8000000000000000e+01,1.9112500000000001e+01,1.3953125000000000e+01,1.1171874999999999e-03,1.3875000000000001e-01,2.1375000000000000e-01,6.5625000000000003e-02,-1.7187500000000000e-01,4.9056409999999996e+03,1.7824360000000001e+05
5.9000000000000000e+01,2.3112500000000001e+01,1.5753125000000001e+01,1.6171874999999999e-03,-1.0125000000000001e-01,-2.6249999999999999e-02,-1.3437499999999999e-01,2.8125000000000001e-02,7.6315950000000003e+03,3.6708300000000000e+05
6.0000000000000000e+01,2.1112500000000001e+01,1.4853125000000000e+01,1.8671874999999999e-03,1.8749999999999999e-02,-1.4624999999999999e-01,1.6562499999999999e-01,1.2812499999999999e-01,6.1590699999999997e+03,2.4246820000000001e+05
6.1000000000000000e+01,1.7112500000000001e+01,1.6653124999999999e+01,1.3671874999999999e-03,-2.2125000000000000e-01,9.3750000000000000e-02,-3.4375000000000003e-02,-7.1874999999999994e-02,6.2761490000000003e+03,2.6697850000000000e+05
6.2000000000000000e+01,1.6862500000000001e+01,1.4965624999999999e+01,1.2109375000000000e-03,-1.4624999999999999e-01,1.3875000000000001e-01,-1.4687500000000001e-01,6.5625000000000003e-02,4.9981189999999997e+03,2.3959610000000001e+05
6.3000000000000000e+01,2.0862500000000001e+01,1.6765625000000000e+01,1.7109375000000000e-03,9.3750000000000000e-02,-1.0125000000000001e-01,5.3124999999999999e-02,-1.3437499999999999e-01,7.7993599999999997e+03,3.4878420000000001e+05
6.4000000000000000e+01,2.2862500000000001e+01,1.4065625000000001e+01,1.9609375000000000e-03,-2.6249999999999999e-02,-2.2125000000000000e-01,-4.6875000000000000e-02,-3.4375000000000003e-02,5.9859390000000003e+03,2.3251460000000001e+05
6.5000000000000000e+01,1.8862500000000001e+01,1.5865625000000000e+01,1.4609375000000000e-03,2.1375000000000000e-01,1.8749999999999999e-02,1.5312500000000001e-01,1.6562499999999999e-01,6.3104399999999996e+03,3.1766140000000002e+05
6.6000000000000000e+01,1.9862500000000001e+01,1.4515625000000000e+01,1.5859375000000001e-03,-2.0624999999999999e-01,-1.6125000000000000e-01,1.0312499999999999e-01,1.5625000000000000e-02,5.5419930000000004e+03,2.4330879999999999e+05
6.7000000000000000e+01,2.3862500000000001e+01,1.6315625000000001e+01,1.0859375000000001e-03,3.3750000000000002e-02,7.8750000000000001e-02,-9.6875000000000003e-02,-1.8437500000000001e-01,8.3731419999999998e+03,2.7605000000000000e+05
6.8000000000000000e+01,2.1862500000000001e+01,1.5415625000000000e+01,1.3359375000000001e-03,-8.6249999999999993e-02,1.9875000000000001e-01,3.1250000000000002e-03,-8.4375000000000006e-02,6.9068090000000002e+03,3.0963040000000002e+05
6.9000000000000000e+01,1.7862500000000001e+01,1.7215624999999999e+01,1.8359374999999999e-03,1.5375000000000000e-01,-4.1250000000000002e-02,-1.9687499999999999e-01,1.1562500000000001e-01,7.0613360000000002e+03,3.7025079999999999e+05
7.0000000000000000e+01,1.7362500000000001e+01,1.3840624999999999e+01,1.3984374999999999e-03,3.7499999999999999e-03,-7.1249999999999994e-02,-1.7187500000000000e-01,9.0624999999999997e-02,4.3612749999999996e+03,1.5819020000000001e+05
7.1000000000000000e+01,2.1362500000000001e+01,1.5640625000000000e+01,1.8984375000000000e-03,-2.3624999999999999e-01,1.6875000000000001e-01,2.8125000000000001e-02,-1.0937500000000000e-01,6.9487560000000003e+03,3.4523990000000002e+05
7.2000000000000000e+01,2.3362500000000001e+01,1.4740625000000000e+01,1.6484374999999999e-03,1.2375000000000000e-01,4.8750000000000002e-02,-7.1874999999999994e-02,-9.3749999999999997e-03,6.7039840000000004e+03,2.4003410000000001e+05
7.3000000000000000e+01,1.9362500000000001e+01,1.6540624999999999e+01,1.1484374999999999e-03,-1.1625000000000001e-01,-1.9125000000000000e-01,1.2812499999999999e-01,1.9062499999999999e-01,7.0360309999999999e+03,3.0172120000000001e+05
7.4000000000000000e+01,1.8362500000000001e+01,1.5190625000000001e+01,1.7734375000000001e-03,6.3750000000000001e-02,1.0875000000000000e-01,1.7812500000000001e-01,4.0625000000000001e-02,5.6283879999999999e+03,2.6569509999999998e+05
7.5000000000000000e+01,2.2362500000000001e+01,1.6990625000000001e+01,1.2734375000000000e-03,-1.7624999999999999e-01,-1.3125000000000001e-01,-2.1874999999999999e-02,-1.5937499999999999e-01,8.6068299999999999e+03,3.8292470000000001e+05
7.6000000000000000e+01,2.0362500000000001e+01,1.4290625000000000e+01,1.0234375000000000e-03,1.8375000000000000e-01,-1.1250000000000000e-02,7.8125000000000000e-02,-5.9374999999999997e-02,5.5205100000000002e+03,2.4695700000000000e+05
7.7000000000000000e+01,1.6362500000000001e+01,1.6090624999999999e+01,1.5234375000000001e-03,-5.6250000000000001e-02,2.2875000000000001e-01,-1.2187500000000000e-01,1.4062500000000000e-01,5.6523040000000001e+03,3.5534640000000002e+05
7.8000000000000000e+01,1.6393750000000001e+01,1.4895312000000001e+01,1.7851563000000001e-03,2.1187500000000001e-01,-1.6875000000000001e-02,-3.2812500000000001e-02,-1.4062500000000000e-02,4.8122039999999997e+03,2.3572739999999999e+05
7.9000000000000000e+01,2.0393750000000001e+01,1.6695312000000001e+01,1.2851563000000001e-03,-2.8125000000000001e-02,2.2312499999999999e-01,1.6718749999999999e-01,1.8593750000000001e-01,7.5774030000000002e+03,3.5059829999999999e+05
8.0000000000000000e+01,2.2393750000000001e+01,1.3995312999999999e+01,1.0351563000000001e-03,9.1874999999999998e-02,1.0312499999999999e-01,-1.3281250000000000e-01,8.5937500000000000e-02,5.7790870000000004e+03,1.8883039999999999e+05
8.1000000000000000e+01,1.8393750000000001e+01,1.5795311999999999e+01,1.5351563000000001e-03,-1.4812500000000001e-01,-1.3687500000000000e-01,6.7187499999999997e-02,-1.1406250000000000e-01,6.0931999999999998e+03,3.0287759999999998e+05
8.2000000000000000e+01,1.9393750000000001e+01,1.4445311999999999e+01,1.4101561999999999e-03,1.5187500000000001e-01,4.3124999999999997e-02,1.7187500000000001e-02,-6.4062499999999994e-02,5.3669960000000001e+03,2.4906650000000000e+05
8.3000000000000000e+01,2.3393750000000001e+01,1.6245312999999999e+01,1.9101561999999999e-03,-8.8124999999999995e-02,-1.9687499999999999e-01,-1.8281249999999999e-01,1.3593749999999999e-01,8.1624809999999998e+03,3.2987579999999999e+05
8.4000000000000000e+01,2.1393750000000001e+01,1.5345313000000001e+01,1.6601561999999999e-03,3.1875000000000001e-02,-7.6874999999999999e-02,1.1718750000000000e-01,3.5937499999999997e-02,6.7003260000000000e+03,3.0520740000000002e+05
8.5000000000000000e+01,1.7393750000000001e+01,1.7145312000000001e+01,1.1601561999999999e-03,-2.0812500000000000e-01,1.6312499999999999e-01,-8.2812499999999997e-02,-1.6406250000000000e-01,6.8077730000000001e+03,3.2937909999999998e+05
8.6000000000000000e+01,1.7893750000000001e+01,1.3770312000000001e+01,1.5976562000000001e-03,-1.1812499999999999e-01,1.9312499999999999e-01,-5.7812500000000003e-02,-3.9062500000000000e-02,4.4625580000000000e+03,1.6204379999999999e+05
8.7000000000000000e+01,2.1893750000000001e+01,1.5570311999999999e+01,1.0976562999999999e-03,1.2187500000000000e-01,-4.6875000000000000e-02,1.4218749999999999e-01,1.6093750000000001e-01,7.0735379999999996e+03,3.4532929999999999e+05
8.8000000000000000e+01,2.3893750000000001e+01,1.4670311999999999e+01,1.3476562000000001e-03,-2.3812500000000000e-01,-1.6687500000000000e-01,-1.5781249999999999e-01,6.0937499999999999e-02,6.8207790000000005e+03,2.8927750000000000e+05
8.9000000000000000e+01,1.9893750000000001e+01,1.6470312000000000e+01,1.8476562000000001e-03,1.8749999999999999e-03,7.3124999999999996e-02,4.2187500000000003e-02,-1.3906250000000001e-01,7.1440039999999999e+03,2.9946529999999999e+05
9.0000000000000000e+01,1.8893750000000001e+01,1.5120312999999999e+01,1.2226563000000000e-03,-5.8125000000000003e-02,-2.2687499999999999e-01,9.2187500000000006e-02,-8.9062500000000003e-02,5.7167550000000001e+03,2.3930239999999999e+05
9.1000000000000000e+01,2.2893750000000001e+01,1.6920313000000000e+01,1.7226563000000000e-03,1.8187500000000001e-01,1.3125000000000000e-02,-1.0781250000000001e-01,1.1093749999999999e-01,8.7439930000000004e+03,4.0553390000000002e+05
9.2000000000000000e+01,2.0893750000000001e+01,1.4220313000000001e+01,1.9726562999999998e-03,-1.7812500000000001e-01,1.3312499999999999e-01,1.9218750000000001e-01,1.0937499999999999e-02,5.6239309999999996e+03,2.7716259999999998e+05
