Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
2.1000000000000000e+01,2.1635267464979570e+04,7.5866207227620587e+04,9.0484243190345354e+04,9.1790049898481026e+04,4.3352000000000002e-01,1.0723000000000000e+00,1.7812000000000000e-01,1.7826000000000000e-01,8.3030303030303043e-01
2.2000000000000000e+01,2.6838181707234253e+04,6.1260485704386010e+04,9.6502008018875247e+04,9.9134247394025835e+04,5.1053999999999999e-01,1.0166999999999999e+00,1.4005999999999999e-01,1.4007000000000000e-01,5.4393939393939394e-01
2.3000000000000000e+01,2.1900101792173282e+04,6.8817619971435925e+04,7.2654900134707234e+04,7.3942204271997864e+04,4.5494000000000001e-01,1.0611999999999999e+00,1.6868000000000000e-01,1.6924000000000000e-01,9.0909090909090895e-01
2.4000000000000000e+01,2.3283337487682547e+04,7.4481681766733906e+04,1.0269037394802141e+05,7.6676623505054289e+04,4.5634000000000002e-01,1.0484000000000000e+00,1.6538000000000000e-01,1.6539000000000001e-01,7.4090909090909096e-01
2.5000000000000000e+01,2.3633177680024171e+04,6.6179669180359924e+04,7.0416572432543442e+04,8.4136415198359740e+04,4.7406999999999999e-01,1.0408999999999999e+00,1.5706000000000001e-01,1.5748000000000001e-01,7.5909090909090904e-01
2.6000000000000000e+01,1.9892077235377834e+04,7.4886825690328711e+04,8.0892526471568170e+04,9.1027192878223665e+04,4.1774000000000000e-01,1.0926000000000000e+00,1.8733000000000000e-01,1.8789000000000000e-01,9.0757575757575748e-01
2.7000000000000000e+01,1.9923968311397985e+04,6.9733116029563855e+04,7.9203994958905052e+04,9.5546847545164157e+04,4.3251000000000001e-01,1.0778000000000001e+00,1.7973000000000000e-01,1.8004000000000001e-01,9.0606060606060590e-01
2.8000000000000000e+01,2.4740773428888071e+04,7.3650462687675405e+04,8.5768955947587427e+04,7.5017569607889571e+04,4.7550999999999999e-01,1.0353000000000001e+00,1.5572000000000000e-01,1.5584999999999999e-01,6.5606060606060623e-01
2.9000000000000000e+01,2.0506588112194731e+04,7.8077441288244736e+04,7.5333230663922805e+04,1.0172941118962370e+05,4.1511999999999999e-01,1.0845000000000000e+00,1.8618999999999999e-01,1.8793000000000001e-01,9.1060606060606064e-01
3.0000000000000000e+01,2.3352750404392526e+04,8.0296410405600531e+04,7.2736143506361434e+04,8.7936417711916074e+04,4.5145000000000002e-01,1.0537000000000001e+00,1.6677000000000000e-01,1.6925999999999999e-01,7.1666666666666667e-01
3.1000000000000000e+01,1.9381205485661376e+04,7.9378868566915437e+04,7.0162197844692360e+04,9.9896776729614081e+04,4.0800999999999998e-01,1.0949000000000000e+00,1.9051999999999999e-01,1.9528999999999999e-01,9.1060606060606064e-01
3.2000000000000000e+01,2.5919189630011584e+04,7.6881018103742055e+04,7.2955254592881858e+04,8.6392175367560267e+04,4.8753999999999997e-01,1.0319000000000000e+00,1.4951999999999999e-01,1.5070000000000000e-01,5.5909090909090908e-01
3.3000000000000000e+01,2.0790807706226020e+04,7.5041835270011448e+04,8.5099483961224061e+04,1.0478331339946282e+05,4.2574000000000001e-01,1.0790000000000000e+00,1.8226999999999999e-01,1.8254999999999999e-01,9.0909090909090906e-01
3.4000000000000000e+01,2.0072992660386244e+04,6.0669918162789334e+04,7.5093864313465092e+04,7.6898468113511888e+04,4.6955999999999998e-01,1.0353000000000001e+00,1.6095999999999999e-01,1.6105000000000000e-01,9.0606060606060612e-01
3.5000000000000000e+01,2.6397488310288820e+04,6.9136082941397282e+04,8.9245107064271622e+04,7.7218372736054167e+04,4.9697999999999998e-01,1.0287999999999999e+00,1.4510000000000001e-01,1.4513000000000001e-01,5.4848484848484858e-01
