Run,AE1,AE2,AE3,OIL,WATER,CO,CO2,VEL
2.1000000000000000e+01,2.3435736152040376e+04,6.5650376360659488e+04,9.5657052146775299e+04,5.4464999999999997e-01,1.0426000000000000e+00,7.6619699999999999e-02,3.8228000000000001e-01,6.2272727272727268e-01
2.2000000000000000e+01,2.0404853763235005e+04,5.6580755479572064e+04,8.5857251029869731e+04,5.5367000000000000e-01,1.0344000000000000e+00,7.5101799999999996e-02,3.7469999999999998e-01,6.8636363636363640e-01
2.3000000000000000e+01,2.3824032380656099e+04,5.7586368457131714e+04,8.5922369716736517e+04,5.5325999999999997e-01,1.0383000000000000e+00,7.5082599999999999e-02,3.7459999999999999e-01,6.0606060606060597e-01
2.4000000000000000e+01,2.3933449180908050e+04,7.6357224935383318e+04,8.0851934101960025e+04,5.4471000000000003e-01,1.0427999999999999e+00,7.7410400000000004e-02,3.8622000000000001e-01,5.9242424242424241e-01
2.5000000000000000e+01,2.1678928936941607e+04,7.7903087846414564e+04,9.4601300237231626e+04,5.3486000000000000e-01,1.0522000000000000e+00,8.0581500000000000e-02,4.0204000000000001e-01,6.2575757575757585e-01
2.6000000000000000e+01,2.0230655591411825e+04,7.4543057342586064e+04,8.0251128573885842e+04,5.3752999999999995e-01,1.0470999999999999e+00,7.9158500000000007e-02,3.9494000000000001e-01,6.6212121212121222e-01
2.7000000000000000e+01,2.0551606999854357e+04,5.4184971759748441e+04,8.3186131274328887e+04,5.5337000000000003e-01,1.0344000000000000e+00,7.4469599999999997e-02,3.7153999999999998e-01,7.0303030303030301e-01
2.8000000000000000e+01,2.1990881413325456e+04,6.2239101643413720e+04,8.0248837381234654e+04,5.4886999999999997e-01,1.0436000000000001e+00,7.5997300000000004e-02,3.7917000000000001e-01,6.3484848484848488e-01
2.9000000000000000e+01,2.0236467171378245e+04,7.9319824306703260e+04,1.0019246413617110e+05,5.2829000000000004e-01,1.0599000000000001e+00,8.2681800000000000e-02,4.1253000000000001e-01,5.5454545454545456e-01
3.0000000000000000e+01,2.1632587822191028e+04,6.6969110008726202e+04,8.9851813141112929e+04,5.4366000000000003e-01,1.0437000000000001e+00,7.7388600000000002e-02,3.8611000000000001e-01,6.3636363636363635e-01
