"September" "October" "November" "December" "January" "February" "March" "April" "May" "June" "July" "August"
3299.08787150146 3182.42313605345 3068.75661934083 3075.19258411683 2568.53380286305 2587.84102866883 2414.54151575821 2583.14782977404 2549.07210644067 2899.43167508634 3230.97274889475 2958.81762119322
3961.65404094692 3868.98584906947 3763.96412234402 3748.53262364532 3268.11356502925 3250.49694948994 3111.75416684963 3269.55267453341 3267.75836698851 3594.77924554834 3908.69362284009 3661.93687685786
6399.30712484019 6288.48421767611 6165.04989234583 6181.00558064954 5445.37259303168 5410.73475569674 5193.98864821772 5442.15371998197 5415.85986193656 5875.63647053339 6313.70784612605 5963.31864259207
4094.8127142631 4127.15400587769 4144.13816389136 4173.84840356223 3928.27855008258 3856.46158827734 3778.89041894542 3876.88003961595 3807.55582335433 3929.19799995742 4047.50287673958 3965.95427440024
2921.56051392174 2899.7519882305 2565.61735675221 2507.49431415895 1658.17255794353 1960.525267832 1549.42708211763 1817.30574372854 1694.52182621457 2231.57475311014 2673.49704479424 2354.05569859385
3705.11681537664 3645.87114683714 3570.99531252837 3570.93216519075 3116.10332931727 3095.87575742923 2953.80414265476 3106.51276386215 3068.47100113028 3362.70060152537 3637.09428297653 3423.24771698324
5048.99134896465 4951.82295447727 4847.90581240497 4890.20602051404 4158.2730734831 4148.69659199079 3876.93343247998 4135.7598069467 4043.26713129921 4502.25968334975 4924.70617232882 4565.23871174246
8004.722511659 7883.67907250593 7740.68195817864 7701.82496055353 6993.20535216135 6945.52047964976 6826.87323806772 7033.38126621246 7100.75940977221 7545.38080414205 7962.99724930495 7646.37457261015
3620.38961284092 3210.74170494477 2919.50771054582 2868.5406536987 2168.09570242403 2313.89960398034 2072.94902276376 2274.70855412383 2312.38315580146 2874.88647810043 3436.89711864585 2926.56954900745
4479.69100840722 4410.78910587542 4335.73987204029 4350.6035341005 3842.61831149231 3799.1311245291 3632.26374309155 3813.44133335836 3768.6163870283 4095.3654253759 4413.09501885196 4161.68561905944
3940.15689243904 3877.12084172699 3798.30154248602 3804.50293162505 3333.30093509134 3303.72815820881 3149.35340257539 3315.80171688269 3276.24573065396 3580.98500616078 3875.79129850414 3641.99861035364
6241.37625875083 6086.89006262321 5923.44646800211 5853.05042705193 5263.22985019806 5249.37749123831 5180.84482593605 5330.29234258837 5450.06422836021 5853.9096538758 6227.3001525685 5946.10339453066
4450.26975054219 4411.0971400153 4357.42609499431 4376.45902729742 3872.177902918 3830.55336782425 3665.83425061793 3842.94926281855 3780.09293059561 4083.94322652662 4368.07032191367 4144.47111243546
6271.61136901114 6204.20112430173 6127.57210479374 6133.10040488652 5570.1110012955 5499.81336672458 5357.23658247852 5543.20718514676 5534.00151846774 5884.22724693912 6216.6042455494 5965.21439567095
6618.88086048277 6461.05828034585 6290.1920768174 6297.61037355677 5434.24705282333 5422.96115688687 5151.28909178293 5439.82984239727 5422.32700584642 5982.68440960512 6516.70396210848 6077.23263724027
2734.83629035831 2641.92762208887 2349.08519184803 2332.6016335829 1652.19428796563 1818.78892178815 1510.9745628594 1723.99602023855 1653.97853067128 2137.06467333619 2588.64429080691 2217.65261678142
4021.30106248949 3962.08092481628 3892.48195771788 3881.77414595283 3478.4525633572 3445.87809073018 3348.34357104591 3475.57698182413 3475.68075045956 3735.78231973815 3979.62836355732 3795.72804017483
8386.27333292372 7920.1326639236 7467.02291318898 7448.78579747883 5948.69307772535 6148.960358118 5647.21988062134 6117.99125229439 6175.08958344014 7219.58965583558 8209.11991221761 7307.4673883927
7625.10375121541 5927.94109298594 4922.47446607571 4784.70833396276 3320.97522696543 3800.1856041348 3310.46630807081 3666.38435011388 4213.52795606354 5807.77037430706 7651.36082006621 5996.97142168411
8004.87881404636 7875.78314696513 7713.16301876905 7754.66492372741 6711.76109832486 6689.97125159273 6334.60987483793 6699.01230796011 6619.83241286702 7255.15020814924 7853.5642074978 7356.5667482945
5293.88542258904 4294.06537467623 3580.29677488088 3441.48706186169 2498.26776475215 2786.07579296174 2492.96267816775 2722.91189024602 2929.50365427591 3793.33279039993 4844.44062752596 3922.93824376736
6448.76380662102 6244.95529945938 6038.45415841066 6122.55725315288 4968.79142288188 5045.76238341281 4578.09132274625 4996.11999355273 4842.14693237524 5567.42608777234 6231.9384924257 5622.45466169529
2345.29860955719 2146.51204704619 1968.42273740173 1973.57840571331 1403.44953662666 1536.8851830976 1300.65588930569 1484.45085736063 1423.85618632514 1856.87519844691 2276.88730752667 1942.81771215564
8412.32844840162 7052.17574033948 6281.8220290651 6394.94247408022 4265.16431493275 5042.07665924514 4086.76817012772 4722.60545199101 4812.43951156674 6407.36860459454 7969.03000375926 6330.89067375508
4998.04083250095 4967.62012663624 4925.17767617103 4948.40313867134 4474.5397503217 4411.47913864314 4264.96259902463 4434.55093974498 4379.22796970152 4661.13773741278 4929.76781576125 4723.30662935241
3831.12216050999 3815.38747094007 3783.22001014706 3792.4716803908 3444.43945037541 3394.44927691318 3293.27983828819 3415.5389588382 3375.03679714913 3582.53428414997 3779.14814533842 3633.07493750021
4861.65475872124 4875.02368999188 4872.31931862154 4909.81713325573 4523.65404061178 4442.46171058324 4311.44241005579 4462.64498919813 4378.06161554217 4589.41661836397 4795.20110596389 4640.6508105994
3169.82386408913 2874.80674669827 2578.75963915007 2449.59557727711 1988.55448575529 2075.26348649093 2021.67266791865 2112.58827400158 2304.76678105532 2761.08927186967 3216.38962079132 2852.11167201621
6203.48446951091 5849.37685299604 5539.3738672143 5560.24111699896 4426.0179651405 4562.30330382462 4152.81023683982 4519.74842702249 4507.24544929928 5307.37719803586 6048.18403226667 5372.90567791277
4465.90754741471 4451.01328316807 4414.05255961535 4442.22898915722 3969.73019272278 3912.64209564795 3746.48743522213 3922.04928176199 3840.49122693602 4116.10647349836 4380.08931536067 4177.05051166424
2730.18394217014 2457.27243603201 2348.95979901138 2380.89700630254 1910.81178639082 1943.2823011057 1748.6538180968 1918.38457016514 1831.96262200703 2183.80843605032 2609.52390166842 2322.79237850547
4641.0214316223 4572.9694818946 4495.09043894401 4494.87625030714 3993.32994499369 3957.30885945249 3816.51592982181 3980.8452047502 3962.24682442168 4280.40715228101 4578.92237321187 4347.79538225587
3708.92491816546 3448.47985209646 3231.62451996379 3143.14946492819 2673.47576973249 2699.5049939707 2628.44505642896 2736.42456936516 2902.60375487509 3327.88217116268 3740.8447384462 3425.49061735957
3671.55555302615 3937.27628888554 3249.52629317435 3089.99909631696 2240.85480046533 2458.63518936872 1992.01398405749 2171.49737815869 2127.08898398815 2604.18236728169 2982.1153416353 2803.01680841924
6004.63943666883 5960.51749385943 5894.52034559252 5920.27796718369 5313.61219937926 5253.5919571072 5071.28594189936 5285.1533202255 5225.71027264131 5580.94725312072 5918.26703141519 5655.23126833355
3998.99680712716 3980.15701111035 3949.09600733508 3972.72214659618 3575.5502918816 3521.39925756202 3388.89863921937 3534.83410984835 3472.1130494891 3709.74477111501 3936.07689520423 3763.07539789573
5733.75158208818 6115.65132258063 4925.1709491543 4462.93622602811 2973.46828833899 3554.52988982505 2794.11773260496 3079.09094363165 3016.47532521495 3739.22547193781 4153.05057607743 3874.68944610134
3652.89326204152 3422.9530983027 3130.40856890129 3113.51189674464 2219.79020046797 2460.00317686325 2086.20496763497 2365.19460716799 2284.65429185474 2920.72431436037 3472.6172317759 2909.16835582115
3991.34504096108 3832.5658876233 3694.56796853957 3719.17054384322 3045.17397872732 3080.35888452851 2829.02433252784 3058.8415542902 2999.2970748796 3463.0996905708 3892.24813919329 3513.9841538604
4976.06710234753 4919.67721770581 4841.46360711623 4897.92689702016 4165.59168155152 4148.80541018018 3853.93629388001 4127.06278508293 3984.61139038707 4419.1903579703 4825.53386840658 4485.89640659489
4261.42587861374 4157.70250415198 4050.81507837519 4027.81535150766 3546.55029373134 3530.29379629137 3414.95843003815 3560.21053781102 3584.42386605686 3911.22713379941 4218.35211366114 3981.50567362376
13519.3068423731 11065.6997923408 9155.02252082332 8940.76515879668 6367.54891326089 6957.84105613167 6233.61021511656 6931.53237789759 7722.59405710466 10535.1793234239 13622.3712521971 10860.5892369005
4721.48949648228 4563.22067189163 4424.5452154914 4406.46167801469 3834.1983048593 3817.12140106484 3662.94495517682 3839.86398462492 3874.73321732677 4286.06889132687 4680.9708466096 4370.21833953962
5567.94799930014 5293.36775573824 5055.77402380522 4995.51651797326 4267.45406490684 4285.86078708693 4114.65490029885 4318.6904951466 4438.60696226255 5001.53106618874 5545.41419010136 5113.94996065003
8239.62552180074 7699.39103417742 7202.29840982806 7086.55894070989 5765.85497854573 5946.35979802724 5607.90426915235 5971.64859471423 6206.39734653453 7205.00559971208 8172.635561392 7349.74935365809
4001.57027396608 3935.81673747442 3863.60712053855 3852.12113143271 3443.19341023945 3410.75296384611 3310.89391897688 3438.73278035299 3442.1288478716 3710.46904879365 3961.90131029206 3771.3942428325
5188.93766856301 4669.28670722318 3808.64929634184 3520.32383999636 2411.59155672911 2846.81141580179 2520.33685680426 2741.73276007341 3067.78428131053 4008.01414131097 4881.70654628402 4074.85671005032
5442.46016748412 5332.60353507163 5209.52678341392 5175.94408691333 4598.94746675868 4571.84021654088 4443.57189143725 4615.75188192222 4654.13017044631 5036.44946511118 5394.52608389604 5118.07867401223
8437.77949602075 7637.41242486972 6968.87956845945 7003.9624647959 5325.99515306859 5589.16049032026 5010.76029169158 5533.22373526537 5646.89464963879 6984.20503873613 8277.9507260065 7053.53721818328
4050.29100602683 4074.66023795924 4081.52458816307 4109.44102760971 3827.07005310624 3758.01259388872 3667.54993455767 3778.10726014588 3708.57005819733 3855.45799123659 3996.98046841864 3896.35742566459
2880.33947166779 3044.08823796547 2636.93667088839 2517.28743784673 1921.65453472629 2062.16850840314 1770.80498388708 1898.33782950337 1893.49174850394 2261.62183320289 2602.49861354278 2372.09575082832
4432.31272194408 4281.42014448546 4139.30677897008 4115.77482394202 3553.7169632143 3556.09357100093 3412.06143542639 3580.986614699 3617.1653935268 4011.92495936739 4387.47672034346 4088.62126195769
4751.33619186718 4747.94504095871 3894.08590137268 3526.32729004329 2159.03921118347 2867.11119188603 2258.22686353819 2558.27105042679 2769.09626591411 3636.32543014515 4251.3046798015 3480.22428767116
3445.00457421876 3382.77825152362 2881.90688039966 2747.64310325919 2114.33944303188 2246.95132147329 2047.71871731643 2193.84174841607 2331.11188552566 2834.00612288145 3336.61706905151 2908.42631823418
7380.05762199321 7192.89562614982 7002.14877498338 6952.67735747084 6189.16833389558 6155.06323099009 6002.38949800934 6225.25818259116 6323.54801565426 6849.09825700238 7346.58724280049 6963.45365493584
3775.53697763368 3780.28616272294 3742.64715131093 3761.55815644771 3351.72881831698 3307.42056424389 3167.24403375431 3317.98249545261 3246.44228972056 3482.85638277586 3703.57051737502 3528.19071831935
7900.28076441369 7508.47044804826 7126.2598311846 7016.91853777055 5927.91995923096 6022.7741945482 5785.75892643812 6080.5021226012 6285.31532706786 7087.80691892682 7856.37690525063 7226.93703739244
5328.24331060231 5225.16620711078 5113.72388710783 5112.05798551787 4499.47945123528 4469.29945064524 4294.18139219979 4493.5963106886 4486.35523120215 4882.96157545352 5257.28750485182 4961.98372403037
10938.1080058452 9619.55908155976 8609.74047584734 8504.6353523781 6329.83913393462 6851.24750098828 6128.80891846449 6746.2949842724 7165.04953647831 8970.44266158305 10826.4245166101 9091.06705885949
3571.59686121681 3479.66439280994 3389.90887335499 3360.08876400841 3004.07510236051 2982.42471948688 2914.95429591335 3016.33589101867 3060.09481143089 3316.77966405264 3556.79370501421 3378.77816395833
8452.50064322119 7431.56022847946 6650.53922219011 6401.22700322286 5102.91906999138 5333.99955690945 5101.90744780778 5390.45922600983 5989.93773215827 7272.96136734049 8612.23528421533 7503.28754502257
4449.2366555869 4478.92054495764 4484.43140540301 4521.41279777055 4165.71023708178 4089.89988337121 3965.18022205877 4105.99220870607 4013.532876501 4198.27919001727 4376.15289627397 4245.19490627468
6172.10558877425 5597.00671332698 5137.06965631949 5103.90752392578 3895.75438942899 4128.46736279857 3707.70082599694 4062.12530365673 4160.17667687157 5109.09282678703 6031.43681610891 5198.41707501478
8107.75132799242 7885.4845390502 7639.78809704858 7563.5996468634 6649.97932046714 6666.93312511397 6494.33538980929 6749.42174717589 6873.75519034327 7483.88723974501 8059.10493582568 7602.86531610043
5359.50815154323 5043.83245825374 4768.29034939384 4713.44016219215 3917.92326272791 3976.41634242833 3760.83321782902 3990.54531917457 4102.20431454892 4716.69372366971 5318.13341092601 4823.42534140957
2219.85091601225 2390.95813986563 2066.37815454689 1976.99113049299 1358.3378630282 1539.76171504478 1227.58663751474 1406.27135770801 1283.3518864157 1616.17254866468 1998.81468524611 2060.01724022097
5472.44076385932 5365.20278993985 5234.90476824171 5288.63469594299 4422.61242595151 4434.24849475818 4094.82980453392 4415.54662659961 4283.54210547813 4815.87715266566 5310.00955607113 4875.29928324932
3235.81825897252 3104.76309077988 2934.4577071046 2960.89276415052 2228.55633855583 2356.96819946524 2046.83684218873 2297.1219741206 2170.62052218564 2668.35687235887 3087.59894466391 2669.51072286475
2713.09237745543 2408.53740885721 2122.0420772261 2037.41619706345 1520.05541099409 1637.61849124989 1485.3945327743 1620.26590618196 1710.42433359595 2195.02183041999 2690.7755759624 2272.5911038444
4175.15776884826 4140.58275054317 4103.87895670705 4128.66454278112 3700.31907085298 3646.63258551887 3501.85479979574 3658.59026404137 3595.30405205124 3853.44219333014 4098.54256403949 3908.65171413372
13920.7657480419 12439.2096661809 11188.0134802568 10870.6827710025 8425.63179582733 8970.6390253775 8362.47285032432 8982.64699697392 9721.94752158375 11798.5747065395 13917.5744820933 12069.7198696792
10432.6256858503 9891.30880952339 9331.61041401646 9198.00303883722 7601.43502475597 7818.98159291931 7432.96442655783 7877.88440007727 8111.30535674824 9242.91615266876 10317.4579368343 9407.19159310563
4340.80958782369 4362.30896648123 4350.62612820806 4385.14382045247 3957.3834215097 3898.53294909358 3747.32353069525 3910.12006293227 3809.35609697218 4036.95857594525 4248.89648794531 4087.26644385806
9123.39629426607 8651.52839979261 8185.5350939596 8050.4700744628 6792.76843523363 6924.93588928891 6668.26389225506 7003.56304070172 7252.62366598283 8181.26958910615 9077.17939289603 8340.12466404976
2062.25917604915 2244.00278206447 2052.42114840372 2030.28288042048 1490.92049923524 1587.02953781004 1328.27660820946 1506.03307186667 1365.55173658616 1637.33192129393 1876.93314925538 1916.53623496305
3718.24098859042 3659.68795870193 3315.69077422221 3277.85197682762 2400.2663476119 2604.51859371963 2233.59624081851 2511.76936105062 2438.07541585385 3027.17517395177 3533.94279332442 3007.1631456146
3411.99241366915 3110.68060769304 2721.22113897934 2558.75481228157 2008.77018009753 2137.14912227719 2051.85124566209 2163.77791487188 2359.68003744548 2891.05847926274 3426.38543209139 2985.71025736606
3002.56216112136 2785.54408697053 2512.11332981511 2448.95031087768 1851.38213086984 1967.91999621062 1766.36274350214 1939.63436332246 1968.89381675204 2462.04453729857 2934.02087790079 2511.83989613957
4809.12777395919 4608.56664113001 4416.81680156102 4346.75677489079 3761.46117107254 3778.18664832339 3667.66854240756 3821.22971874003 3937.98243035815 4375.89649968197 4792.45870062438 4466.70690127686
11064.703156669 10531.2522378484 10039.6232978282 9992.50873862114 8297.14959159541 8416.4930162948 7910.20426601221 8441.63298976752 8570.564644483 9776.20174146817 10945.93529226 9948.63922838122
5119.56083463351 4907.4836242576 4234.35469299086 4188.82741944127 2720.26279000659 3303.08889360357 2563.44134239363 3013.58238744941 2917.59059987797 3823.22115757995 4529.70309971389 3605.04481389294
4340.79014874431 4166.46212465304 4005.53360479798 3938.25596347923 3456.06975132231 3457.20301530955 3383.63132908257 3504.99872659886 3619.53579072175 3990.54915003239 4339.84459741719 4073.95812187031
3350.84538668857 3368.29069635875 3363.27642963402 3394.37523374582 3070.11244874982 3015.07268796968 2889.08421016881 3020.50004450547 2929.37611933026 3105.7102819785 3277.08646498648 3150.58889749615
19799.0240763299 18132.9544468987 16585.8994045104 16078.7504727717 12929.8752310417 13527.0728056633 12928.7201259146 13695.9894549556 14691.6568317343 17280.2014815186 19857.5501781056 17655.6805413624
5237.29230251207 4877.28254447494 4384.36857519617 4258.95837409531 3178.1286246322 3484.78365134386 3210.780257293 3478.6490840379 3569.83427384892 4353.74404954432 4964.82788745615 4387.44007035628
4981.59896671602 4943.14583170562 4898.88436744542 4886.49939439115 4543.46669464458 4482.49977944233 4429.53253501837 4533.26398966104 4550.70456978332 4764.25777140388 4961.18482583181 4821.49522960693
5719.77607760047 5742.11503440517 5751.08205387392 5774.33267414341 5472.82715989718 5385.92899610431 5319.8491579734 5428.5131792949 5381.84813626225 5535.44897915819 5680.09637000772 5582.03789507178
3853.74928755914 3854.75398071551 3843.1228054424 3855.27088046897 3580.50665097907 3521.91428678493 3449.69466893257 3547.98381133103 3511.51844293998 3667.14505752456 3815.19997882421 3709.56541146731
4236.92970044129 4212.09000959013 4172.37677901871 4168.56424183278 3814.99125155331 3769.97496917905 3691.98773377125 3805.29670712178 3790.62852060543 4000.25439906444 4194.32032622178 4052.18917862073
2948.58203543527 2882.56497379338 2710.40776142057 2747.05454120876 1892.12426797298 2144.70233018846 1734.45315490738 2026.46902927885 1829.71484514299 2351.05729927853 2739.01518547053 2349.06789018532
3000.34135272946 3001.36201806667 2462.18325189026 2340.24007787338 1486.43264399448 1815.24522623787 1356.20986285441 1594.69195234896 1517.36692706071 2052.09791714433 2611.81609992031 2434.84011382594
2261.91572705086 2251.05714644373 2062.76974158909 2037.03887866467 1541.73471869674 1622.25311747334 1426.86450127121 1589.97740426326 1526.03795035579 1858.2451792226 2157.32922595895 1952.81025127242
2130.28218434417 2173.7283692004 1989.69402031064 1964.25088582099 1513.63662215661 1572.43348957927 1390.5873676986 1541.95131056198 1469.31165010427 1754.12583221545 2007.70822288209 1909.07115521645
4055.40466833524 3928.15912746093 3795.90506471826 3819.03409984621 3147.31264209801 3178.71342138378 2924.28946565362 3155.32031054061 3076.64020405133 3526.5807564199 3940.82221917481 3587.7000423651
6266.05986664391 6108.08616317731 5954.54366284571 5990.32381216924 5127.20891737707 5108.72766257036 4802.66585709579 5105.63094362854 5042.66507721565 5606.57168175413 6149.25417995668 5699.64096167348
9678.45841928143 9044.59109883514 8482.5095096052 8337.50732773437 6913.58716765259 7058.3585543576 6726.12112290962 7113.73983647199 7434.89587061688 8557.83386891757 9659.45466723547 8750.31260615649
5495.22125242938 4590.31557753572 3937.38559376337 3856.46850597988 2621.21976077382 3049.18250642309 2567.11867291792 2899.66921037685 3110.69432141949 4206.99113337948 5336.64371365165 4217.34161715659
6732.90006417006 6240.73644746538 5823.35917570421 5674.58424613809 4763.14200289279 4851.78524681067 4704.35311013061 4918.31587883586 5235.0082083412 6014.72286617194 6778.14275900608 6169.43619053503
2563.15666856543 2682.98046486215 2448.0349736432 2419.8283820427 1937.5912951408 1985.34608544554 1776.36287703825 1933.6238938291 1861.81701967158 2148.91795531245 2404.12627058289 2208.19868607935
4407.28826386966 4406.9187691995 4373.95007010876 4407.53856926604 3930.77672330382 3874.03041170355 3699.91111447503 3884.32770923818 3785.63972922628 4056.50453008793 4314.82254586379 4109.58633986022
6028.00601392263 5960.96413857724 5857.33070794851 5906.62679594001 5067.54448598435 5045.91129220377 4731.89674736285 5035.69622355099 4911.90402651622 5408.28876554539 5870.12147584573 5482.80323995481
3101.7549668212 3054.60734062787 2815.44701164766 2747.90107138898 2233.20490517988 2302.54280919121 2158.75327059225 2302.70660434877 2324.31994407024 2690.15807268966 3028.87024506934 2750.99189276082
5342.95786794049 5185.02379678233 5036.50245771522 4976.45772807584 4460.73108007391 4429.58781117805 4356.32852184762 4491.37220150157 4602.65631472441 4984.61073795572 5341.72354281997 5075.49469162398
5240.31348588367 4875.59802971587 4573.6526358967 4492.53770788384 3740.82212714133 3799.11031892895 3624.94418398785 3822.88730471004 3995.81950479632 4622.98924016409 5237.4863263353 4741.62785212588
11188.4464133554 10828.8815119755 10347.9985789508 10155.5104633565 8649.88163733099 8688.94681222172 8359.28547247645 8822.63181102182 8971.0770351421 9985.80951242062 11059.0532867458 10266.2953105552
16169.9041160838 14855.9307097301 13620.3382203491 13451.1987537212 10353.9080599461 11016.7642018748 10046.3603099372 10942.3412754092 11401.3162926534 13699.1550942656 15941.486039863 13859.4555503071
3008.3505864033 2775.63242622503 2262.80704531534 2099.88486957947 1494.46452922286 1674.73277886294 1477.75673063506 1620.40341959633 1764.95457964899 2328.55520014338 2919.5216269206 2405.70690423429
5417.39624316684 5198.30152567785 5005.26421523927 4927.85899456984 4375.69081051933 4369.63457217133 4306.07290300832 4439.51472365947 4602.60639685041 5033.55074083522 5438.19167980659 5128.56052075197
4222.53400635503 4199.02384680879 4170.37621629352 4166.68588161803 3882.98433190169 3827.07886072754 3776.54203976426 3866.04500320344 3866.9859597926 4040.03641599688 4200.81565147188 4087.54822690103
12432.2827587402 11620.1027821119 10844.150961568 10758.017111663 8566.15079782798 8911.01706069852 8228.08097630952 8886.74304248993 9138.35589966111 10725.6641204743 12267.3360577225 10882.0578936414
7708.66265220997 7013.51969585808 6447.38731246335 6335.14066834772 5049.78170045269 5238.85763334684 4885.44223007867 5239.91119744469 5523.886086219 6601.30640674118 7687.32343259428 6759.43951624293
3192.41323436348 3190.18542282034 3168.61987844185 3196.07565405864 2834.33389828254 2791.3251560308 2648.657672458 2793.98996804558 2703.21548205272 2911.50991685666 3112.37657907004 2961.86851840998
