"GMT_0" "GMT_1" "GMT_12" "GMT_13" "GMT_14" "GMT_15" "GMT_16" "GMT_17" "GMT_18" "GMT_19" "GMT_20" "GMT_21" "GMT_22" "GMT_23"
4.63807143025389e-05 2.8797651457937e-05 1.39954772999897e-05 1.74680186844178e-06 7.05000330517865e-06 1.63489308472924e-05 2.97176069076357e-05 4.44121301869746e-05 5.545809796186e-05 6.42584366804946e-05 6.96959831666475e-05 7.30394701808139e-05 7.28576794385537e-05 6.76176984138822e-05
3.19500647666218e-05 1.95346371580638e-05 9.4576142556795e-06 1.1835420807513e-06 4.50166554111785e-06 8.81595801438722e-06 1.52338309674437e-05 2.27193797683149e-05 3.06938068057803e-05 3.78695604323461e-05 4.32420860459314e-05 4.77000196530932e-05 4.94869941355369e-05 4.68972326008679e-05
4.0728461490987e-05 2.68885134300053e-05 1.40176170756656e-05 1.76385392036316e-06 6.23573308873779e-06 1.18405172069195e-05 2.0561044497646e-05 2.98181993843563e-05 3.81841341761965e-05 4.60211811099475e-05 5.21192703453697e-05 5.67638483845777e-05 5.82810123481707e-05 5.52796702353356e-05
6.04917790623878e-05 3.26610134534617e-05 1.19673818141267e-05 1.36847345019738e-06 7.75490349219076e-06 2.26682832261753e-05 4.28460080064458e-05 6.38353038624591e-05 7.91664652567526e-05 9.1921744573699e-05 0.000101011471616396 0.000107275347633627 0.000105651102277058 9.80771421658174e-05
4.80798689797876e-05 2.99469691794337e-05 1.43550386576534e-05 1.7114688784611e-06 6.69261646834396e-06 1.42412803734839e-05 2.56085227285797e-05 3.77396560453644e-05 4.71645225516941e-05 5.6758191699561e-05 6.35075729934272e-05 6.85181077295122e-05 7.03403588651305e-05 6.69553421133744e-05
3.69279001720784e-05 2.33339180482885e-05 1.08985574994054e-05 1.35884206128326e-06 5.43402780490079e-06 1.11035552297756e-05 2.07112779373115e-05 2.97867383978773e-05 3.79407866722574e-05 4.51526657355424e-05 5.03114880213119e-05 5.41031149550581e-05 5.52772148828932e-05 5.22792138503727e-05
2.36189512905411e-05 1.5527891094331e-05 8.07636587714379e-06 1.00152801476872e-06 3.77230463406413e-06 7.32408456510468e-06 1.2337795549285e-05 1.86413489329777e-05 2.44952145784516e-05 2.94890677432317e-05 3.32703431805058e-05 3.57596783418093e-05 3.61394925024892e-05 3.37159955866108e-05
4.55760822063652e-05 2.89703907929668e-05 1.30441393088646e-05 1.62753170060263e-06 7.65498940309416e-06 1.76815468214958e-05 3.22719314718939e-05 4.67436603094648e-05 5.57524117154435e-05 6.2463658040857e-05 6.54204254683145e-05 6.65591168077427e-05 6.61218632514327e-05 6.2581249654021e-05
4.15128431116976e-05 2.60524701242127e-05 1.27344219128994e-05 1.58479405838333e-06 6.33568709623807e-06 1.45889107181677e-05 2.62968890430262e-05 3.92792851319827e-05 4.85113577376302e-05 5.65359971655289e-05 6.15452141092344e-05 6.47657727917168e-05 6.47514292099178e-05 6.01623719354282e-05
4.73446583336233e-05 2.91769885232524e-05 1.3894574906333e-05 1.66569953102111e-06 6.85074072722841e-06 1.69288560665573e-05 2.96731767246606e-05 4.56138901597825e-05 5.67855871421578e-05 6.60183970152474e-05 7.21666391781302e-05 7.51953132868231e-05 7.47703499881321e-05 6.97190945543826e-05
2.94733445061498e-05 1.91752773334666e-05 1.00116759080727e-05 1.27989716248021e-06 4.55488739235787e-06 8.84198214152973e-06 1.50726907931018e-05 2.23530750037182e-05 2.92449034448879e-05 3.53534121889764e-05 3.9770653292198e-05 4.32007256833487e-05 4.40868775666079e-05 4.14839362423436e-05
3.98494813227423e-05 2.55309973081827e-05 1.25761646818773e-05 1.56358857423403e-06 5.858875899211e-06 1.18178225538969e-05 2.06206965919151e-05 2.97304519442312e-05 3.80542960196054e-05 4.56074828984102e-05 5.12523847351485e-05 5.56151065868129e-05 5.73604513709577e-05 5.48040791947725e-05
2.81081781718537e-05 1.87980434151254e-05 9.87348974705188e-06 1.3077785291182e-06 4.63904793863812e-06 8.81318441780788e-06 1.59720381483224e-05 2.21904278399349e-05 2.8497819496185e-05 3.46073624957423e-05 3.91342081998258e-05 4.24982342176879e-05 4.27150575499761e-05 3.97286622793307e-05
2.91311217250009e-05 1.84787012332478e-05 9.00036816898715e-06 1.1967733007408e-06 4.89904608838735e-06 1.06023196027321e-05 1.86982200151831e-05 2.77025790067713e-05 3.43603586698152e-05 4.04440042925798e-05 4.48622626146103e-05 4.81488501673277e-05 4.82880597597037e-05 4.42843367336013e-05
5.89935167816267e-05 3.53302729878624e-05 1.4064755433625e-05 1.56597675437048e-06 8.16829258381972e-06 2.39221590703195e-05 4.13675498631385e-05 6.18936094300586e-05 7.61792631189255e-05 8.62533488473169e-05 9.18311312176033e-05 9.42564186720725e-05 9.25664982560244e-05 8.71517156893714e-05
4.29149845052592e-05 2.75889097619262e-05 1.388295572588e-05 1.75030594421054e-06 6.37973993926942e-06 1.3120171167679e-05 2.27209815514728e-05 3.25407404191271e-05 4.15145053727967e-05 5.06080626838818e-05 5.74818761824577e-05 6.29965322671062e-05 6.45828907797853e-05 6.07246695307072e-05
2.61550931501038e-05 1.58714241981508e-05 6.90482574759541e-06 8.74855395347141e-07 4.66174320432531e-06 1.08433199375382e-05 2.11515719033451e-05 3.21538087840296e-05 3.86632299669951e-05 4.34962762492199e-05 4.57521091684032e-05 4.680526740811e-05 4.56156081050273e-05 4.12466833200984e-05
3.15326314595392e-05 1.91800234471775e-05 7.74483045429932e-06 1.04645159518045e-06 6.57702804603771e-06 1.53986105316133e-05 2.76004776263043e-05 3.74136529181582e-05 4.2365225074898e-05 4.80147232780726e-05 5.10595458092989e-05 5.60148745256599e-05 5.5503687859693e-05 5.2063040097695e-05
2.65521982908657e-05 1.58424827893805e-05 7.58757249221194e-06 9.78081585191835e-07 4.00529123448822e-06 8.09190870944532e-06 1.48975698561687e-05 2.20543723637381e-05 2.98841752059037e-05 3.78906659628785e-05 4.41896511681201e-05 4.85897750929017e-05 4.8933355947839e-05 4.45337249097806e-05
