"GMT_0" "GMT_1" "GMT_12" "GMT_13" "GMT_14" "GMT_15" "GMT_16" "GMT_17" "GMT_18" "GMT_19" "GMT_20" "GMT_21" "GMT_22" "GMT_23"
2334.14604371447 1637.53803945786 969.186848423148 766.667846773523 924.088461428654 991.113311953953 1095.12980615592 1315.92989408701 1640.41452187585 2016.4070234322 2343.24965514232 2636.97939823792 2816.91928621352 2801.19931523337
1437.03042943155 1392.67694065158 1136.82168136063 823.140898180833 943.023159809048 816.628241632107 776.666457062118 845.473358131318 934.894363568396 1038.19981680431 1116.81125239394 1172.46570935364 1245.2269102128 1315.56731553933
1422.42664847637 1381.88315198358 1037.96453997181 858.651025535687 998.710220943996 1003.23318289158 1052.87170616808 1171.72475532402 1259.92514188489 1250.14483228354 1225.21137779547 1179.24645528122 1173.16333655057 1207.23104760279
2149.33418123417 1965.65633184485 1593.15260267795 1273.73592651465 1502.67021384501 1571.55360997881 1630.43508614247 1749.06619085154 1856.46217382284 1929.35675962863 1985.76921777972 2022.46567591022 2071.54906758929 2118.81942715682
1671.82817557063 1613.85607241718 1383.17648333294 1120.19890077248 1195.09896566184 1106.43172888969 1064.78971347936 1123.25311721048 1165.98984497836 1187.82183084017 1214.64906760601 1241.93901427776 1320.83938854649 1434.09997205008
2045.44044748914 2538.29658426299 2393.49985201991 1576.42395918362 2221.08460820791 2072.97036780765 2067.72443943627 2029.24739861031 1861.96942122685 1632.03207909182 1598.04639290625 1534.00260619273 1502.05575447031 1643.6553409342
1069.91985579864 845.509374056653 561.927840083212 471.887468731074 693.635780105347 750.601071836471 798.929782907572 886.893984565827 978.335238127538 1045.94257550203 1088.14040198826 1118.34662037474 1135.64840231067 1133.35886662147
1473.92468739834 1725.05289649091 1296.30096343302 700.172933860164 946.236238415674 884.983611559213 928.854094843304 1077.50709825136 1110.46799796569 1082.96542764514 1028.3983528638 1019.76362479847 1056.39147704844 1149.33948316773
1167.64041415805 965.026113060763 728.960975713435 472.276721530486 584.512690067995 535.643435200141 538.100903463608 625.63276343552 751.787584741255 912.681790537117 1057.97524494811 1183.37274460328 1273.92656749046 1300.09839049164
1494.09884795261 1229.77992775774 811.306464864864 569.91025159302 747.726166528995 862.881819548752 987.463171255197 1185.5014806149 1361.26671471066 1443.13162279705 1507.58417552522 1653.61000189702 1739.97709698275 1774.72916371575
1419.65903274908 1145.01597594244 859.623936183136 782.684591685979 973.991423712165 1030.4945121372 1073.67024996344 1170.92011256964 1283.84932770463 1383.40245794202 1465.70707900336 1537.40897519466 1578.34150173862 1576.24674931882
1177.53392663101 1267.76720628632 981.175464206718 716.90334451979 1113.95855420865 1199.3634869317 1365.9676054315 1431.67148711548 1380.55648001672 1286.95193550887 1243.1644499282 1234.63190990741 1184.8451697116 1204.27114752716
1927.32129143461 1835.41250256788 1450.40025428857 1039.09431155279 1232.45999419378 1122.50991451335 1138.24435072644 1283.215259971 1436.0535445483 1545.403024387 1623.17920294144 1655.10029693252 1707.817381902 1776.2781537882
2188.53196269136 2177.11506567911 1766.97026760017 1581.30434115632 1936.40684033457 2086.29944134012 2213.69936096384 2320.45764552987 2324.05740853265 2273.07089446842 2234.00129156157 2197.30146646425 2158.333470942 2148.19089961633
1047.3010258671 967.062541632714 837.527699673139 658.078939624837 768.004740574241 737.792554485962 727.432989374918 780.850527953364 834.900663392144 890.974257787672 928.726181714325 951.78313981195 977.896939174156 1006.35513837934
1548.6209895252 1303.63218600188 1017.9155478776 676.932057562594 812.604455573649 806.720441006206 840.345935196326 974.909021525014 1142.43017584466 1334.12248187594 1507.38615453318 1652.92975320647 1747.68708837637 1760.70413637201
