"GMT_0" "GMT_1" "GMT_12" "GMT_13" "GMT_14" "GMT_15" "GMT_16" "GMT_17" "GMT_18" "GMT_19" "GMT_20" "GMT_21" "GMT_22" "GMT_23"
4030.672252385 5628.18498832215 9587.46895688947 10022.3751119406 4566.79031775118 2522.24861210526 1790.55605514048 1661.2329824886 1779.18389728415 2130.30656619506 2449.82979064236 2731.98251527342 2956.91884070288 3098.74767311828
6059.87886156541 6689.29034782801 7462.82284707832 7784.04820674716 6508.57026215177 5353.01079883093 4683.66850761828 4460.07517721737 4407.95381046896 4483.87449968028 4600.07220387762 4723.44909929313 4935.03580041634 5205.58425753457
5159.70054642178 5574.64455582099 6170.53180650513 6415.39151806104 5316.21179605834 4396.32489166515 3905.02297440117 3803.20538148154 3838.53829644111 3965.7712629127 4110.64381082182 4245.44210394966 4418.39976845667 4606.43039838773
4042.52825063679 4166.48792438379 4327.36712062972 4507.24119229916 4208.00464926898 3898.23659769055 3691.94012834873 3628.74783096151 3620.45850807022 3652.79871444014 3698.17077024228 3738.23935532461 3794.30828652336 3857.56672838876
3763.29923504791 3911.27356155367 4093.25706735457 4276.14284836895 3992.96345881117 3683.21372193107 3458.28455737946 3364.32545101631 3326.11923873432 3333.77748049538 3360.68183705653 3391.01403415059 3449.04477158183 3526.81773353247
20521.5586424768 24516.1346282033 29955.745640711 30799.5821891556 21826.0170698027 15718.9930951992 13177.5151568099 12645.3320988052 12500.8856498688 12505.8429471167 12697.4689890883 13130.5760724941 14264.0184517357 15950.9175011993
2706.63782578429 3125.54527411606 3895.95278400671 4126.84699894489 3033.43232154508 2292.76625064925 1877.7349465133 1738.17453171338 1693.23439230006 1727.90001901855 1782.87387070601 1849.15428820864 1970.95091699433 2139.07387915846
8233.63489200994 9072.03931194096 10286.2829527094 10544.6913688487 8119.32755019195 6344.52075558423 5561.63166760102 5493.88421941084 5668.42296705752 5978.08420162024 6296.9600312548 6596.1671626423 6936.91095280135 7277.31263515102
4967.19053531719 5457.10360787268 6272.05982567518 6500.61913044122 5018.66925406941 3933.72256471289 3385.06547120434 3273.04327150855 3322.54138607191 3489.13530978244 3676.21106044178 3856.77048907165 4078.91734028168 4311.03425415206
4359.17050004266 4685.98053180965 5516.94373239342 5603.24931189589 3865.31760292528 2900.45474319482 2517.13240925916 2560.33053741377 2748.86522208587 3026.92229477304 3306.85856948435 3571.12663370282 3811.54417252425 3983.77227946114
3222.46224204555 3433.29610198313 3751.86225531485 3923.79016523836 3399.33359321168 2932.41258900834 2640.12435376425 2550.59556929218 2534.08765772687 2575.71143978742 2634.42249994011 2692.83562639928 2783.78163886682 2893.81466514454
7497.01609547975 8205.19869703697 9785.91454970313 9616.80444959279 6289.11000456687 4580.34620626366 4043.99435233343 4106.64383742035 4233.60195605787 4359.74012966368 4594.69904905358 4998.24855762058 5617.22709473397 6303.34291874429
7659.18585583562 8532.14832050244 9572.98963382906 9982.73129794581 8279.96298902868 6725.87713784 5861.40810863761 5589.17139203457 5530.33601585473 5630.0856400328 5779.80754303785 5932.0234766619 6194.68276414933 6536.90473872552
4549.156825168 4924.48071943458 5666.59268742641 5829.29219180484 4351.3208312416 3404.12440069427 3017.62201109651 3021.11048550755 3097.6818793569 3203.52634672656 3334.50869700964 3505.97939320411 3751.24630924253 4006.98334591057
3711.46185883382 3979.94245286504 4347.58253971344 4546.18712252195 3977.6598086647 3440.42036400354 3085.67979168438 2949.63852302213 2902.1920853689 2925.68156694669 2975.22098705467 3033.5083902014 3139.95710104392 3280.49249225443
4599.28306281751 4891.72634414801 5303.24393894858 5510.53689664059 4731.75045683438 4047.8043066113 3650.31002435728 3553.50871997648 3567.94601319835 3661.95836533896 3777.04023520524 3884.74809841489 4023.43577436853 4173.78565271227
4149.41110067193 4779.75428640774 5923.15696367598 6192.81314864106 4325.40857925597 3140.87728812442 2601.80603259845 2497.50665488438 2538.7185340111 2672.91169700165 2816.66567370493 2959.60301715293 3163.65765897169 3404.21494191951
