"September" "October" "November" "December" "January" "February" "March" "April" "May" "June" "July" "August"
3723.69118926295 3455.95699643291 2177.99420805843 1420.17180128709 917.972787031258 990.302056799258 620.932587847827 502.215676823725 607.844039382952 1141.40910881743 2316.7094448826 2132.64179408555
2071.78023340141 2245.8749480958 1573.50011305662 1349.69769066366 820.893674030058 908.72915877728 677.993872066104 788.674446494596 766.664094897615 913.259172416261 1238.11750815301 1150.28417694089
2564.61491418258 2857.92807704595 2043.46912107578 1713.29148629981 1153.59958452022 1185.45388502427 816.704266066661 780.256985021925 793.596344203441 944.637470541932 1207.14508929851 1413.48792626185
2934.10077617046 3126.70539593357 2495.00968177664 2171.51595227889 1631.40193012661 1693.67438723469 1383.08239231827 1314.8508907371 1355.09283155974 1591.75628510114 1994.45873165718 2022.94113959119
1807.87577143506 2038.05504462564 1599.78940042025 1464.28505946189 1053.99840918459 1113.54920816434 979.053644815385 1102.81044133222 1087.57192756479 1201.26304780709 1412.35732143872 1275.44146800916
3819.23695398726 4890.43142425581 4027.00968274674 3538.11797762194 1858.10200023254 2231.67426731663 1732.96518829618 1900.02408378647 1654.21397134721 1788.25891518723 1868.03070898124 2064.05313438684
1547.26947016453 1766.17092387505 1280.26994061974 916.537063161735 596.73777717616 670.143990430728 498.038191944433 406.528936548096 364.543336613107 569.482768973453 1010.95809808151 1266.50200603373
2308.95338645906 2623.04004455906 1730.61762930973 1339.72086312763 752.262838899656 884.337893450642 667.850819067699 717.437676660607 844.044046043552 975.739566280801 1208.85486521817 1193.42217812869
1744.35199969692 1719.51719894366 1154.10130747196 933.723162978054 561.967561259273 601.663120066774 415.505218283749 448.546747545115 470.412422369828 652.398406232033 1096.11161777554 987.080167382714
2809.61404675371 2674.78616712601 1706.1579752305 1176.55156306965 779.846193776695 848.536782476613 626.953066617685 487.958137311033 605.20530379392 849.226550114424 1522.36289572795 1559.21129045284
2190.37851595146 2356.60560020849 1794.36089307182 1451.87552623656 1046.24681475824 1109.84699224841 863.10194494995 735.000022309521 719.104182216215 952.950401752657 1422.97208257764 1488.60506570078
2833.49100396838 3530.29937949527 2401.83248581955 1513.03470901076 871.183460724541 1113.70757387717 842.919357886054 716.908930388806 758.13494259123 986.010704235593 1225.09237405165 1484.133144411
