Run,ISC,IS,n,RS,RP,Pmax,dISC,dIS,dn,dRS,dRP
1.8000000000000000e+01,1.4629068843727261e-01,1.0407017615195802e-08,1.2821344757404272e+00,3.0991465294842047e-01,2.5976363159174480e+02,5.5559456697529430e-02,3.3817729082341597e-02,-1.9980817583808985e-02,2.3550999435351105e-02,-4.3689990791850875e-03,3.2373310976385739e-04
1.9000000000000000e+01,8.7583250899286536e-02,7.5721930176598732e-11,1.3957245397800451e+00,5.4424004531421366e-01,1.3825434592341776e+02,4.7199474959273763e-02,5.0384661096081196e-02,-1.2294676221547007e-02,1.7177473173035640e-02,-1.4480837917663081e-03,2.4510706866931464e-03
2.0000000000000000e+01,2.2638654609363534e-01,8.2188212626213068e-08,1.6065688798171276e+00,5.3219454543057099e-01,3.5745625500822155e+02,8.3035177076353411e-02,2.8015408645720719e-02,-3.7658950277630332e-02,3.2259048557414793e-02,-9.8253240404799769e-03,1.3799386633372990e-04
2.1000000000000000e+01,1.3396359395744764e-01,1.0497360682521244e-10,1.0884196411740885e+00,1.9890498824378408e-01,1.5239273337674462e+02,5.9340904771453741e-02,4.1036717600417827e-02,-1.5511079955177198e-02,2.7957572978909440e-02,-3.6997879690470192e-03,1.3221246528138941e-03
2.2000000000000000e+01,1.3245698197439432e-01,3.3026497009680051e-09,1.3721170067547943e+00,6.5992541441818675e-01,2.0850766248708891e+02,5.3785927446512644e-02,3.3568910817738384e-02,-1.9065032073883881e-02,2.2672734682760431e-02,-3.4854739788814371e-03,5.3301152380669237e-04
2.3000000000000000e+01,8.7416054809780069e-02,3.0260668818853817e-11,1.3560893148281838e+00,1.8604045067728170e-01,2.5144093068049955e+02,5.1494926492330090e-02,5.6148534717526122e-02,-1.2521643055762866e-02,1.8831975923117028e-02,-1.5628472266326909e-03,8.8654816821076565e-04
2.4000000000000000e+01,2.1712683705343258e-01,3.9873020325430590e-08,1.4018921201885646e+00,5.5423384060347392e-01,2.0980922398680374e+02,7.1454416235646662e-02,2.4339974299958378e-02,-3.1337416411814090e-02,3.2416483511377159e-02,-8.9534506059196772e-03,3.1137309397522017e-04
2.5000000000000000e+01,2.1753456836644078e-01,5.2824153254342932e-09,1.4683012579724959e+00,6.5165976287631877e-01,1.6940995811635258e+02,8.6695046993466279e-02,2.9232469320183974e-02,-3.3155553066932519e-02,3.7392885302023338e-02,-9.1622805592495027e-03,6.8865829705444526e-04
2.6000000000000000e+01,7.6576224456169198e-02,9.2389830872098242e-10,1.1404629367412655e+00,3.7329490698674117e-01,3.0903619405561699e+02,3.0051244906709677e-02,3.6161078163093885e-02,-9.2941693716208640e-03,1.3721874501243514e-02,-1.2033213141193766e-03,2.5206904619157200e-04
2.7000000000000000e+01,1.1965440904026847e-01,8.2901715936865045e-09,1.3608603829968298e+00,3.2124995126487421e-01,1.5181607348734309e+02,4.8610786380207091e-02,3.7450135770278337e-02,-1.6928176700681252e-02,1.8745294677602331e-02,-2.8201683002770928e-03,1.1340744524024338e-03
2.8000000000000000e+01,1.8450129229393050e-01,6.4238454426030489e-10,1.1211079217949291e+00,4.6749747948476361e-01,2.6661589312254603e+02,6.8905950214808845e-02,2.9735017018084342e-02,-2.2176206454505021e-02,3.6375653947318121e-02,-7.0165728227600255e-03,2.6250228379876006e-04
2.9000000000000000e+01,9.0600543070145867e-02,2.1993988905842835e-07,1.4265065326865591e+00,2.3345757181441940e-01,3.5838254752680967e+02,2.9852417845748484e-02,3.1364723325488786e-02,-1.3533011170019371e-02,1.0870430115078600e-02,-1.6204340265446593e-03,1.3966710427082418e-04
3.0000000000000000e+01,1.2204957407861237e-01,1.4675861108966135e-08,1.1667319017835069e+00,2.5714465211723847e-01,2.0920720566948648e+02,4.1279163959381762e-02,3.0956556679173630e-02,-1.5065151362514406e-02,1.8759596494277719e-02,-3.0101111672675707e-03,4.0883328666918572e-04
3.1000000000000000e+01,1.2549019638618319e-01,1.3478115309538578e-10,1.3209884704853576e+00,3.9304966776698258e-01,1.0125598663909676e+02,6.3127214747837543e-02,4.6422843208437925e-02,-1.6852699777358815e-02,2.4629327910474785e-02,-3.0199896194904596e-03,3.9122917544487379e-03
3.2000000000000000e+01,1.2128374225700952e-01,4.5784159256529112e-08,1.2552643824429297e+00,3.2835403499181826e-01,2.3553980260987981e+02,3.9574891490691010e-02,2.9401912113313777e-02,-1.6001610689264645e-02,1.7100891404331353e-02,-2.9277687149664722e-03,2.9710089943790763e-04
3.3000000000000000e+01,2.2437182753685542e-01,3.5676053316661380e-10,1.2584392949195435e+00,4.0406140138963231e-01,1.0015341526392771e+02,9.9229117151390142e-02,3.6528209942932044e-02,-2.9721501162982555e-02,4.5169074688877764e-02,-1.0116805906901227e-02,2.7186884271612755e-03
3.4000000000000000e+01,9.0657677467200840e-02,2.7195268694083425e-09,1.5254963652473301e+00,1.8903046026164663e-01,1.6666614859411902e+02,4.5313478102439630e-02,4.8532007794477305e-02,-1.4151736102419044e-02,1.4659688192530940e-02,-1.5890351950931247e-03,1.5114903287316572e-03
3.5000000000000000e+01,9.4639355392894392e-02,6.9483409964731193e-09,1.7348901299745458e+00,1.7884581467333396e-01,1.4081501204915119e+02,5.0168748077972725e-02,5.2198537311975990e-02,-1.6451828607766394e-02,1.4099832933156531e-02,-1.6735853397564782e-03,2.4423783412386157e-03
3.6000000000000000e+01,2.3350393525796692e-01,2.2984094357571460e-11,1.1036271565243569e+00,2.1036155914441190e-01,3.2717783290497709e+02,1.1501461871286466e-01,4.3064335472631221e-02,-2.8409731747669476e-02,5.6300829345823367e-02,-1.1878303798895651e-02,3.2853685050238113e-04
