run, p_{inf}, M_{inf}, gamma, r1, r2, r3, r4, p_{st}, q_{st}
3.600000e+01, 1.877879e+01, 1.696716e+01, 1.433950e-03, -4.431957e-05, -1.061270e-01, -7.386227e-02, 4.173142e-02, 7.192598e+03, 3.335008e+05
3.700000e+01, 1.844236e+01, 1.555804e+01, 1.358993e-03, -1.755327e-01, -7.038142e-03, -7.818198e-02, -1.169630e-01, 5.931396e+03, 2.811600e+05
3.800000e+01, 2.013595e+01, 1.414768e+01, 1.040594e-03, -1.862021e-01, -1.095681e-01, -1.109914e-01, -1.110840e-01, 5.321462e+03, 2.060508e+05
3.900000e+01, 2.202061e+01, 1.549914e+01, 1.148509e-03, -2.888793e-02, -6.498190e-02, 6.984774e-02, 6.042965e-02, 7.027036e+03, 3.053295e+05
4.000000e+01, 1.688743e+01, 1.707094e+01, 1.901002e-03, -1.314803e-02, -9.270599e-02, 4.622870e-02, 6.780761e-02, 6.558186e+03, 3.447825e+05
4.100000e+01, 2.293010e+01, 1.600192e+01, 1.128261e-03, -1.609143e-01, -2.228568e-02, -8.697707e-02, -2.619922e-03, 7.810181e+03, 3.626840e+05
4.200000e+01, 2.173475e+01, 1.635951e+01, 1.674160e-03, 9.368313e-02, -1.239055e-02, 3.697622e-02, 5.023601e-03, 7.696422e+03, 3.000032e+05
4.300000e+01, 1.810704e+01, 1.724219e+01, 1.253887e-03, -3.140603e-02, 6.956875e-03, 1.520593e-02, 1.489255e-01, 7.176335e+03, 3.527221e+05
4.400000e+01, 1.727619e+01, 1.606009e+01, 1.068295e-03, -2.299498e-01, 6.034595e-02, 2.531949e-02, -4.498961e-02, 5.947424e+03, 3.569695e+05
4.500000e+01, 2.018087e+01, 1.642826e+01, 1.369281e-03, 1.506599e-01, -4.351624e-02, 3.718610e-03, -1.745745e-02, 7.196010e+03, 2.739711e+05
4.600000e+01, 2.371113e+01, 1.436906e+01, 1.794352e-03, -1.202609e-01, -7.950491e-02, 7.464079e-02, -1.045809e-02, 6.501267e+03, 2.804969e+05
4.700000e+01, 2.330717e+01, 1.523105e+01, 1.298828e-03, -8.665822e-02, -1.987229e-02, 1.200660e-01, -1.016026e-01, 7.190735e+03, 3.021506e+05
4.800000e+01, 2.042305e+01, 1.426417e+01, 1.452659e-03, -7.862122e-02, 8.622402e-03, -2.327113e-02, -6.763286e-02, 5.480576e+03, 2.048799e+05
4.900000e+01, 2.109488e+01, 1.610078e+01, 1.340705e-03, -8.389116e-02, 4.793128e-02, -2.088717e-01, 8.124691e-02, 7.272194e+03, 3.561784e+05
5.000000e+01, 1.864741e+01, 1.402869e+01, 1.023561e-03, -1.509092e-01, 1.020755e-01, 5.194027e-02, -5.810312e-02, 4.852714e+03, 1.979420e+05
5.100000e+01, 1.911966e+01, 1.501003e+01, 1.420490e-03, 1.107815e-01, -4.363997e-03, 3.623743e-02, 1.571953e-01, 5.705376e+03, 2.438705e+05
5.200000e+01, 1.678179e+01, 1.461948e+01, 1.756484e-03, 2.731779e-01, -7.144228e-02, -1.401586e-01, 1.435453e-02, 4.757482e+03, 2.479704e+05
5.300000e+01, 1.938677e+01, 1.422083e+01, 1.933954e-03, -1.692322e-01, 8.139690e-02, 5.185717e-03, 8.251953e-04, 5.187823e+03, 2.244107e+05
5.400000e+01, 2.035235e+01, 1.585384e+01, 1.084664e-03, -1.103028e-01, 1.553674e-01, -1.246137e-01, -3.461437e-02, 6.816074e+03, 3.508931e+05
5.500000e+01, 2.078951e+01, 1.397787e+01, 1.164241e-03, -2.372960e-02, -2.317194e-02, 2.020120e-01, 5.685664e-02, 5.378973e+03, 2.135168e+05
5.600000e+01, 2.381950e+01, 1.615698e+01, 1.489582e-03, -3.638640e-02, -1.027838e-03, -5.989553e-02, -1.816107e-01, 8.222335e+03, 3.237709e+05
5.700000e+01, 2.153681e+01, 1.690948e+01, 1.714625e-03, -3.459841e-02, 1.735067e-01, -1.808263e-01, 7.181146e-02, 8.199553e+03, 3.735859e+05
5.800000e+01, 2.306431e+01, 1.582001e+01, 1.275146e-03, -9.620939e-02, -9.679025e-02, -2.068750e-02, 1.784935e-01, 7.709676e+03, 4.130825e+05
5.900000e+01, 2.249165e+01, 1.728479e+01, 1.108786e-03, 9.858353e-02, -1.610384e-01, -1.337920e-02, 1.876447e-01, 8.938462e+03, 3.907666e+05
6.000000e+01, 2.145241e+01, 1.493839e+01, 1.136263e-03, -6.768394e-02, 2.907563e-01, 1.078092e-01, -4.250491e-02, 6.353296e+03, 2.598280e+05
6.100000e+01, 1.673809e+01, 1.373596e+01, 1.503843e-03, -1.231731e-02, -8.470953e-02, -3.738931e-02, -1.426763e-02, 4.144718e+03, 1.631410e+05
6.200000e+01, 1.929910e+01, 1.552867e+01, 1.596845e-03, 1.235573e-01, -1.565209e-01, -4.855956e-02, 4.904874e-02, 6.188379e+03, 2.977843e+05
6.300000e+01, 1.660724e+01, 1.479229e+01, 1.993189e-03, -1.367722e-01, 2.441532e-01, -1.528438e-02, -7.512834e-02, 4.810139e+03, 2.406060e+05
6.400000e+01, 2.276520e+01, 1.454965e+01, 1.679816e-03, 1.952269e-01, 2.708976e-02, 3.340939e-02, -3.690867e-02, 6.373118e+03, 2.454991e+05
