,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,997.790368159,953.45286696,485.662068275,428.024445413,437.499472097,460.911426515,483.185070928,503.998899994,540.794394867,600.350326173,611.396497047,579.995748498,554.65802255,534.629257838,498.174285414,487.684277579,477.386640066,466.958409021,456.057853374,431.079883585,372.40703286
1,998.598335872,970.709633848,564.161601217,446.44776129,455.682082904,478.98841381,501.434049413,522.546917526,560.206907479,623.148486183,636.107044206,610.459886676,585.306954584,565.152844756,528.481548736,518.006864171,507.782592546,497.500526621,486.843020185,462.828121387,408.96225315
2,1000.03259721,947.921248649,465.807734786,419.372178307,429.273691285,453.785047823,477.108787592,498.854894198,537.004568602,595.453876852,597.522325062,558.941122552,531.912773053,510.277479796,468.329990948,455.074986293,441.224448266,426.095477996,408.745441998,360.365419761,138.731935709
3,999.549978981,898.904963998,362.09936243,387.778627784,398.627150948,424.899636738,449.580094465,472.461686533,512.302279543,569.390832077,565.790549805,526.188607358,494.277462545,465.513150191,389.963011042,353.669531175,301.164287058,210.757431917,27.5998709005,0.0999994436772,0.0999994436772
4,998.739022549,963.889316207,551.673128607,431.194177118,440.103092177,462.916048532,485.017280982,505.774654316,542.509472986,602.22649808,612.091079658,576.952530887,552.457748994,533.261764927,498.421118727,488.389924309,478.53173879,468.533314799,458.061439296,433.965454942,376.637385957
5,1001.16113139,959.714021988,478.484698292,428.410793201,438.725121403,464.193983465,488.447956925,511.143456336,551.306082625,614.986489891,623.035639789,600.539972889,577.199169521,559.18133222,528.947284486,521.169983705,514.04139861,507.370761563,501.005684698,488.690424341,469.530923132
6,999.483861342,927.455621331,403.899717187,403.450883597,413.861341868,439.227278186,463.175094814,485.475597534,524.693887585,585.615366473,592.15386958,574.889905783,557.964856162,546.34659754,531.184484538,528.378054558,526.226890315,524.567867759,523.282237515,521.502057133,520.039306687
7,997.801204549,938.217403013,449.634811898,409.831732815,419.513526784,443.399705144,466.044201302,487.083549077,523.796585063,579.555874752,581.748385426,535.332646562,505.156769274,479.954109942,424.658926095,403.860692055,379.229125634,347.582501529,302.431917488,79.3661383127,0.0999995015827
8,998.552304128,951.626404054,484.659617065,421.469784769,431.120884132,455.120714622,478.023229745,499.424370567,537.165600636,597.23212487,603.735941763,573.244221984,551.801291013,536.458650729,513.620700002,508.542961316,504.249749371,500.572923962,497.388901235,492.150042744,486.263830857
9,998.581311748,943.466869731,435.130144194,414.233735277,424.330118765,449.025573551,472.436708184,494.333895618,533.178934978,595.786524035,603.65988809,568.827849168,535.699889759,506.04507636,432.308095751,399.646692332,355.643239149,287.744942074,161.051065215,0.0999995931165,0.0999995931165
