Run,Cs,Pr_t,Sc_t,ave_T0,ave_T1,ave_T2,rms_T0,rms_T1,rms_T2,ave_w0,ave_w1,ave_w2,rms_w0,rms_w1,rms_w2,ave_mixFrac0,ave_mixFrac1,ave_mixFrac2,rms_mixFrac0,rms_mixFrac1,rms_mixFrac2,ave_P0,ave_P1,ave_P2,rms_P0,rms_P1,rms_P2,ave_rho0,ave_rho1,ave_rho2,rms_rho0,rms_rho1,rms_rho2
1.1000000000000000e+01,3.4599999999999997e-01,5.0000000000000000e-01,1.1000000000000001e+00,-2.1261900000000000e-02,-2.1297300000000002e-02,-1.0506900000000000e-02,7.6798599999999995e-02,3.3499700000000000e-02,1.9837600000000000e-02,1.7067100000000000e-03,-8.4171000000000003e-03,1.7172400000000001e-03,1.6967399999999999e-01,1.5514700000000001e-01,1.4439299999999999e-01,1.8607100000000001e-02,1.1707500000000000e-01,2.3941100000000001e-01,6.9427500000000003e-02,1.7184500000000000e-01,2.3145900000000000e-01,1.0320499999999999e+00,9.8064799999999996e-01,9.4116599999999995e-01,4.6778699999999999e-02,5.3410399999999997e-02,6.6283900000000007e-02,9.8508600000000002e-01,9.4178700000000004e-01,8.9251899999999995e-01,2.9336000000000001e-02,6.7765000000000006e-02,7.5329199999999999e-02
1.2000000000000000e+01,6.5000000000000002e-02,1.7000000000000000e+00,1.1000000000000001e+00,-9.7224599999999994e-02,-3.7711700000000001e-02,-1.3583700000000001e-02,1.9514599999999999e-01,6.0393299999999997e-02,3.4435399999999998e-02,-5.9089499999999996e-03,-2.7120500000000001e-03,-3.2730099999999998e-03,3.9577800000000002e-01,2.3404700000000001e-01,1.7104300000000000e-01,5.8022700000000005e-01,1.0616699999999999e+00,1.4088099999999999e+00,3.2765400000000000e-01,3.1093100000000001e-01,3.6717699999999998e-01,8.4391300000000002e-01,7.0240400000000003e-01,6.0963599999999996e-01,9.5301499999999997e-02,8.4996600000000005e-02,8.1451599999999999e-02,7.8350799999999998e-01,6.8585900000000000e-01,6.4239299999999999e-01,7.6187800000000000e-02,4.2531699999999999e-02,3.4486299999999998e-02
1.3000000000000000e+01,3.4599999999999997e-01,1.7000000000000000e+00,1.1000000000000001e+00,-5.1394400000000000e-02,-3.1174700000000000e-02,-1.1109600000000001e-02,1.2666200000000000e-01,5.3417100000000002e-02,2.9736200000000001e-02,6.2179300000000000e-03,-3.7640000000000000e-03,-8.9963100000000004e-03,3.0966600000000000e-01,2.2723299999999999e-01,1.5814700000000001e-01,3.8014199999999998e-01,7.2784300000000002e-01,1.0421600000000000e+00,4.1035800000000000e-01,3.7179099999999998e-01,3.9627899999999999e-01,8.9923299999999995e-01,8.0169999999999997e-01,7.1074999999999999e-01,1.1649700000000000e-01,1.0373000000000000e-01,1.0198900000000000e-01,8.5935499999999998e-01,7.5088900000000003e-01,6.9233000000000000e-01,1.1739600000000000e-01,6.7053600000000005e-02,5.0438499999999997e-02
1.4000000000000000e+01,6.5000000000000002e-02,1.1000000000000001e+00,5.0000000000000000e-01,-9.9922600000000000e-02,-3.8394699999999997e-02,-1.3955499999999999e-02,2.0267800000000000e-01,6.4716300000000004e-02,3.0043600000000000e-02,2.2777000000000001e-03,-1.9626900000000000e-03,-6.4591300000000004e-03,3.9751399999999998e-01,2.4842300000000000e-01,1.7975900000000000e-01,5.5493800000000004e-01,1.0511200000000001e+00,1.4517400000000000e+00,3.4733300000000000e-01,3.5006500000000002e-01,4.1376800000000002e-01,8.5136100000000003e-01,7.0654700000000004e-01,6.0072899999999996e-01,9.9726400000000007e-02,9.4179499999999999e-02,9.2276399999999995e-02,7.9213800000000001e-01,6.8889299999999998e-01,6.3892899999999997e-01,8.2889699999999997e-02,4.7620500000000003e-02,3.8816900000000001e-02
1.5000000000000000e+01,3.4599999999999997e-01,1.1000000000000001e+00,5.0000000000000000e-01,-2.3866700000000001e-02,-3.2386900000000003e-02,-1.2477800000000001e-02,7.6561100000000007e-02,5.6391799999999999e-02,2.6858199999999999e-02,6.0239500000000001e-03,-5.9693400000000001e-03,2.4990799999999999e-03,1.9964199999999999e-01,2.1226700000000001e-01,1.6706599999999999e-01,1.7426000000000000e-01,4.8602000000000001e-01,7.5729800000000003e-01,2.8161599999999998e-01,2.9213600000000001e-01,3.2223200000000002e-01,9.5584300000000000e-01,8.7117299999999998e-01,7.9209600000000002e-01,7.8788399999999995e-02,8.5416500000000006e-02,9.2345999999999998e-02,9.2667400000000000e-01,8.0985499999999999e-01,7.4200800000000000e-01,9.6132800000000004e-02,7.5700799999999999e-02,5.7651399999999998e-02
1.6000000000000000e+01,6.5000000000000002e-02,1.1000000000000001e+00,1.7000000000000000e+00,-1.0205900000000000e-01,-3.5972900000000002e-02,-1.2230899999999999e-02,2.0255200000000001e-01,5.9787399999999997e-02,2.9358200000000001e-02,-2.1043799999999999e-03,-1.5863299999999999e-03,-5.0589700000000003e-03,4.0657300000000002e-01,2.3745700000000000e-01,1.7158000000000001e-01,5.8902900000000002e-01,1.0725300000000000e+00,1.4099100000000000e+00,3.6083199999999999e-01,3.4189199999999997e-01,3.4633500000000000e-01,8.4145300000000001e-01,7.0016199999999995e-01,6.0865000000000002e-01,1.0374300000000000e-01,9.1649700000000001e-02,7.6958899999999997e-02,7.8392300000000004e-01,6.8540500000000004e-01,6.4185199999999998e-01,8.2703100000000002e-02,4.6068499999999998e-02,3.2477600000000002e-02
1.7000000000000000e+01,3.4599999999999997e-01,1.1000000000000001e+00,1.7000000000000000e+00,-1.2572600000000000e-02,-4.0636300000000000e-02,-1.2672200000000000e-02,6.1858700000000003e-02,6.5748299999999996e-02,2.4990100000000001e-02,9.4777600000000000e-03,1.5816400000000000e-03,-3.6940400000000000e-03,1.5657399999999999e-01,2.4667800000000001e-01,1.6297200000000001e-01,1.1063700000000000e-01,4.4957399999999997e-01,7.1328499999999995e-01,2.4894600000000000e-01,3.1763900000000000e-01,3.8557300000000000e-01,9.7236500000000003e-01,8.8149999999999995e-01,8.0663499999999999e-01,6.9202600000000003e-02,9.1670299999999996e-02,1.0491399999999999e-01,9.5230499999999996e-01,8.2330400000000004e-01,7.5489600000000001e-01,8.3525199999999994e-02,8.4099300000000002e-02,6.6679900000000000e-02
1.8000000000000000e+01,2.0549999999999999e-01,6.7573593099999996e-01,1.1000000000000001e+00,-3.2442300000000000e-02,-3.8967500000000002e-02,-1.2240700000000000e-02,1.2541400000000000e-01,6.5133499999999997e-02,2.7614300000000001e-02,-3.7794700000000001e-03,-8.3813099999999995e-03,1.7439899999999999e-03,2.8722799999999998e-01,2.3632500000000001e-01,1.7403500000000000e-01,2.1752700000000000e-01,6.1024000000000000e-01,9.1600700000000002e-01,3.2618200000000003e-01,2.8978799999999999e-01,3.3173999999999998e-01,9.4471300000000002e-01,8.3503700000000003e-01,7.4557600000000002e-01,9.1721800000000006e-02,8.5739200000000002e-02,9.0991699999999995e-02,9.1246000000000005e-01,7.7442599999999995e-01,7.1079599999999998e-01,1.0462299999999999e-01,6.4821500000000004e-02,4.7981599999999999e-02
1.9000000000000000e+01,2.0549999999999999e-01,1.5242640690000000e+00,1.1000000000000001e+00,-8.7538800000000000e-02,-3.0737799999999999e-02,-1.0057699999999999e-02,1.7920000000000000e-01,5.6085500000000003e-02,2.5346600000000000e-02,-8.8816099999999999e-03,-1.0461000000000000e-02,3.3538299999999999e-03,3.9326499999999998e-01,2.3266700000000001e-01,1.6735100000000000e-01,5.5108800000000002e-01,9.8363800000000001e-01,1.3140200000000000e+00,3.9838499999999999e-01,3.5983599999999999e-01,4.2831100000000000e-01,8.5181099999999998e-01,7.2621400000000003e-01,6.3692199999999999e-01,1.1413600000000000e-01,9.7024399999999997e-02,9.7678100000000004e-02,8.0009300000000005e-01,7.0030300000000001e-01,6.5505000000000002e-01,9.8527000000000003e-02,5.1400899999999999e-02,4.2134600000000001e-02
2.0000000000000000e+01,2.0549999999999999e-01,5.0000000000000000e-01,5.0000000000000000e-01,-2.7061100000000001e-02,-4.0309299999999999e-02,-1.2325200000000000e-02,1.0615100000000000e-01,7.3718400000000003e-02,2.7557000000000002e-02,2.0742199999999999e-02,-6.7963600000000004e-03,-1.0709099999999999e-02,2.3907600000000001e-01,2.4360599999999999e-01,1.6565600000000000e-01,1.5531500000000001e-01,5.2111600000000002e-01,8.1415099999999996e-01,2.7996300000000002e-01,3.0229099999999998e-01,3.1799500000000003e-01,9.6412900000000001e-01,8.6110500000000001e-01,7.7532699999999999e-01,8.0977999999999994e-02,8.8298399999999999e-02,8.9944399999999994e-02,9.3448900000000001e-01,7.9985499999999998e-01,7.2960599999999998e-01,9.2841400000000004e-02,7.4464199999999994e-02,5.1920200000000000e-02
