,0,1,2,3,4,5,6,7,8,9,10
0,0.003796092428,1.795653484,0.336463923,0.190232817,0.5195342402,0.0531716508,-17.8417,0.00581008,0.199493,-0.246353,0.064517695
1,0.002085742295,0.8290330358,0.203550953,0.2070899127,0.3426028146,0.0369159827,-21.1768,0.00643342,0.217358,-0.161779,0.07617857
2,0.003463122712,8.40936925,0.2696274888,7.049725288,0.3404681885,0.000936147511,-0.240652,-6.16702e-06,0.00328211,-0.000132931,0.0027514852
3,0.009424101939,0.1967810909,0.2432609418,0.1434143535,0.6592309055,0.0135019353,-0.858982,0.00101693,0.0600133,-0.053655,0.000144435
4,0.003820891996,0.1021231005,0.1531388187,0.6654838634,0.9341026151,0.00620600503,-0.94012,0.00307109,0.0418718,-0.00445516,-6.55465e-05
6,0.0094282491,8.730888891,0.2037994758,1.627332272,0.2521032856,0.000886308048,-0.0944388,5.43318e-07,0.00436877,-0.000541319,0.00347831145
7,0.003511142746,0.9114162083,0.1123168921,0.2976799788,0.2430923473,0.0061205234,-1.73576,0.000380013,0.0580185,-0.0181464,0.018855452
8,0.008838888592,3.42827635,0.4143362467,0.2687870513,0.1064973474,0.00490944671,-0.558879,8.59379e-06,0.0119335,-0.0181592,0.0454565205
9,0.004646345805,0.3512307619,0.1190001561,0.7967091232,0.5473030976,0.00349859903,-0.649615,0.000612627,0.0308082,-0.00324835,0.003239078
10,0.005109918115,5.186200964,0.1406278557,0.5463075203,0.7477436941,0.00818765182,-1.84343,0.000275455,0.0680233,-0.0120127,0.0067377545
11,0.003522039451,0.135110039,0.1869082924,7.100851493,0.1030934991,0.000205875101,-0.0585621,2.84889e-06,0.00110293,-2.89385e-05,0.0019916237
12,0.009861374888,0.1692356499,0.3280465498,0.5321476707,0.4145795447,0.00588277301,-0.527382,0.000461539,0.0182246,-0.0094778,0.0100614605
13,0.005255214293,0.4213492131,0.3600649894,8.075982873,0.2532918265,0.000573050936,-0.107993,-3.34567e-06,0.00158582,-7.06226e-05,0.002246115
14,0.007960860824,0.3442257119,0.1673690872,0.3312964526,0.1289325671,0.00211810171,-0.260834,3.6025e-05,0.0127362,-0.00619283,0.015377376
15,0.004780878125,0.2596700917,0.1182497741,2.789659021,0.1571099877,0.000369787436,-0.0771089,4.44911e-06,0.00313181,-0.00013132,0.002317423
16,0.001166158297,0.6076084313,0.2322836107,2.663445315,0.8672207844,0.0164491112,-16.3656,0.00228365,0.0766687,-0.00612358,0.018710505
17,0.001567115003,0.1539368432,0.4051587995,6.276108056,0.9163669507,0.00912632978,-6.2078,0.00483555,0.0242767,-0.00131285,0.0080997655
18,0.003119485075,0.6455801849,0.2832160991,0.7526758325,0.1285189195,0.00408357785,-1.31944,5.45923e-05,0.0145567,-0.00537482,0.0311195595
19,0.001939994205,0.2350295099,0.1320126238,0.30447362,0.7305994516,0.0126598592,-4.99641,0.0117359,0.121674,-0.0137163,-0.00765853
20,0.001779568169,0.2227721808,0.1793165519,0.1366304148,0.1043220532,0.0195562619,-11.185,0.00163202,0.113913,-0.14036,0.17042152
21,0.002963638086,2.965024686,0.1932444626,2.378328083,0.3637559624,0.00259938653,-0.830462,-2.0169e-05,0.0131344,-0.00108513,0.007051612
22,0.004792251981,0.7129822483,0.224259485,0.1870446403,0.8719816133,0.0172183569,-2.65425,0.00448725,0.0964606,-0.0337901,-0.008033975
23,0.004276599355,1.452807487,0.2298604379,5.841817274,0.2124261517,0.00051879418,-0.121554,8.62419e-07,0.00226139,-8.85569e-05,0.0024307556
24,0.001190485701,2.049901833,0.1234674185,0.3287647307,0.3144914608,0.0257735153,-23.9155,0.000493488,0.212612,-0.0804467,0.08965003
25,0.00691460429,0.3778256823,0.3899428106,0.3427905611,0.1015304034,0.00440458368,-0.637122,7.39601e-05,0.0113955,-0.0126887,0.042074425
26,0.006770565089,2.852527125,0.1164493803,2.431035992,0.6559063109,0.0011755427,-0.168797,8.47499e-06,0.0101316,-0.000450221,0.0016058015
27,0.003004424052,0.2324795275,0.1249022146,1.247028388,0.2029693124,0.00174143776,-0.573646,0.000114836,0.0141325,-0.00133925,0.0079051955
28,0.007450444577,7.597439228,0.3625038572,2.379976983,0.6908746175,0.00368302341,-0.483433,-1.51512e-06,0.0101086,-0.00152305,0.005182978
29,0.004425856721,5.964096806,0.4874266024,0.8713179319,0.1284248335,0.00409911178,-0.826833,-3.69689e-05,0.00795975,-0.00470599,0.03192058
30,0.006404264817,7.083115012,0.127583915,0.93868611,0.4573815615,0.00247456548,-0.396045,1.24852e-05,0.0200052,-0.00251363,0.0049537395
31,0.001195412321,0.2123833331,0.3096026775,2.967994225,0.1294927658,0.0029861432,-2.41394,-0.000216174,0.00950078,-0.0010032,0.022907096
32,0.008988031063,0.1895745645,0.4506017338,0.5418177626,0.4227039533,0.00884807082,-0.89477,0.00120856,0.0203064,-0.0139957,0.0146072135
33,0.001290603697,0.7766438057,0.3564072818,6.705768637,0.1421757123,0.00146886671,-1.01255,-0.000104676,0.00389473,-0.000219123,0.0103311705
